id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
css-comment-33c51fe1,css,apps/crm/src/app/configuracoes/configuracoes.css,1,23,css,27,"/* ==========================================================================
   Pipe CRM — área de configurações.

   Só existe aqui. `globais.css` continua sendo do trabalho do dia a dia; esta
   folha entra pelo `layout.tsx` de `/configuracoes` e não alcança mais nada.

   Como o resto do CRM, ela NÃO declara nenhuma cor própria: todo valor vem de
   um token `--p-*` do `@pipe/ui`, com o nome de papel dele. Os `--c-*` daqui
   são medidas, não tinta.

   As medidas são do Twenty, lidas no fork em 07/09/2026 — a disposição é
   deles, a tinta é nossa, o mesmo método da lateral em `globais.css`:

   - conteúdo de configuração com **760px** de largura máxima, centrado
     (`SETTINGS_CONTENT_MAX_WIDTH`);
   - **32px** entre blocos, que é o `spacing[8]` deles e o nosso `--p-e-8`;
   - **80px** de respiro no rodapé, para o último bloco não colar na dobra;
   - linha de tabela de 32px, que a `Tabela` do `@pipe/ui` já entrega.

   Uma medida é nossa e não deles: `--c-campo` a 420px. O Twenty deixa o campo
   ocupar a largura inteira dos 760px, e um campo de 760px para digitar um nome
   convida a linha de texto de 100 caracteres que ninguém consegue reler.
   ========================================================================== */",translate,"==========================================================================
   Pipe CRM — settings area.

   Only exists here. `globais.css` remains for everyday work; this sheet is loaded by the `/configuracoes` `layout.tsx` and reaches nothing else.

   Like the rest of the CRM, it does NOT declare any color of its own: every value comes from a `--p-*` token in `@pipe/ui`, named by its role. The `--c-*` tokens here are measurements, not paint.

   The measurements are from Twenty, read in the fork on 2026-09-07 — the layout is theirs, the paint is ours, the same method as the sidebar in `globais.css`:

   - settings content with a **760px** max width, centered (`SETTINGS_CONTENT_MAX_WIDTH`);
   - **32px** between blocks, which is their `spacing[8]` and our `--p-e-8`;
   - **80px** of breathing room at the footer, so the last block doesn't stick to the fold;
   - table row height of 32px, which the `@pipe/ui` `Tabela` already provides.

   One measurement is ours, not theirs: `--c-campo` at 420px. Twenty lets the field take the full 760px width, and a 760px field for typing a name invites a 100-character text line that no one can re-read.
   ==========================================================================",integration,apps/crm/src/app/configuracoes/configuracoes.css:1-23; cites Twenty fork measurements as parity evidence; pre-triage D-40; needs slice-time confirmation,,proposed
css-comment-f053ef0c,css,apps/crm/src/app/configuracoes/configuracoes.css,160,160,css,0,/* ============================================================= formulário */,translate,============================================================= form,other,apps/crm/src/app/configuracoes/configuracoes.css:160,,proposed
css-comment-cddc5d3f,css,apps/crm/src/app/configuracoes/configuracoes.css,168,169,css,4,"/* Campos lado a lado (convidar, criar papel, criar campo). Quebra sozinho na
   janela estreita: `wrap` mais uma base de 220px, sem media query. */",translate,"Fields side by side (invite, create role, create field). Wraps on its own on narrow windows: `wrap` plus a 220px basis, no media query.",other,apps/crm/src/app/configuracoes/configuracoes.css:168-169,,proposed
css-comment-b160ffb2,css,apps/crm/src/app/configuracoes/configuracoes.css,194,194,css,2,/* O primeiro `<span>` do label é o rótulo; os seguintes são a explicação. */,translate,The first `<span>` in the label is the caption; the following ones are the explanation.,other,apps/crm/src/app/configuracoes/configuracoes.css:194,,proposed
css-comment-041005c9,css,apps/crm/src/app/configuracoes/configuracoes.css,235,236,css,5,"/* O segredo que aparece uma vez. Fundo de alerta porque a janela é essa: sair
   da tela sem copiar custa emitir outra chave. */",translate,The secret that appears once. Alert background because that's the situation: leaving the screen without copying costs having to issue another key.,security,apps/crm/src/app/configuracoes/configuracoes.css:235-236; one-time API key/secret reveal UX rationale; pre-triage D-40; needs slice-time confirmation,,proposed
css-comment-d60ba8b0,css,apps/crm/src/app/configuracoes/configuracoes.css,266,267,css,1,"/* Formulário dentro de célula de tabela: sem quebra de linha própria, o botão
   ao lado do controle. */",translate,"Form inside a table cell: no line break of its own, the button next to the control.",other,apps/crm/src/app/configuracoes/configuracoes.css:266-267,,proposed
css-comment-00ce4741,css,apps/crm/src/app/configuracoes/configuracoes.css,290,293,css,5,"/* `legend` dentro de `fieldset` com `display:flex` ou `grid` vira item do
   contexto e senta ao lado do primeiro controle. As duas declarações abaixo o
   devolvem à própria linha, sem tirá-lo do `fieldset` — que é o que dá o nome
   acessível ao grupo inteiro. */",translate,"`legend` inside `fieldset` with `display:flex` or `grid` becomes an item of that context and sits next to the first control. The two declarations below return it to its own line, without taking it out of the `fieldset` — which is what gives the whole group its accessible name.",other,apps/crm/src/app/configuracoes/configuracoes.css:290-293,,proposed
css-comment-d175c0fd,css,apps/crm/src/app/configuracoes/configuracoes.css,310,312,css,2,"/* O rádio continua no DOM e continua focável — só sai da vista. Esconder com
   `display:none` o tiraria da ordem de tabulação, que é o defeito clássico do
   controle segmentado. */",translate,"The radio stays in the DOM and stays focusable — it just leaves the view. Hiding it with `display:none` would remove it from the tab order, which is the classic flaw of the segmented control.",other,apps/crm/src/app/configuracoes/configuracoes.css:310-312,,proposed
css-comment-b94a0da6,css,apps/crm/src/app/configuracoes/configuracoes.css,344,344,css,3,"/* O foco tem de aparecer no rótulo, já que o controle está fora da vista. */",translate,"Focus has to appear on the label, since the control itself is out of view.",other,apps/crm/src/app/configuracoes/configuracoes.css:344,,proposed
css-comment-b0641bcc,css,apps/crm/src/app/configuracoes/configuracoes.css,350,350,css,0,/* =========================================================== permissões */,translate,=========================================================== permissions,other,apps/crm/src/app/configuracoes/configuracoes.css:350,,proposed
