id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
packages-ai-dir-06e610bd,packages-ai,1,dir,packages/ai/src/transcricao,packages/ai/src/transcription,packages/ai/src/transcricao,0,no,,,proposed,codex2,
packages-ai-dir-3fb27a89,packages-ai,1,dir,packages/ai/src/classificacao,packages/ai/src/classification,packages/ai/src/classificacao,0,no,,,proposed,codex2,
packages-ai-dir-c30965c4,packages-ai,1,dir,packages/ai/src/avaliacao,packages/ai/src/evaluation,packages/ai/src/avaliacao,0,no,,,proposed,codex2,
packages-ai-file-06b1cb0e,packages-ai,1,file,tsconfig.testes.json,packages/ai/tsconfig.tests.json,packages/ai/tsconfig.testes.json,5,no,,,proposed,codex2,
packages-ai-file-3718cc30,packages-ai,1,file,transcricao.ts,packages/ai/src/transcription/transcription.ts,packages/ai/src/transcricao/transcricao.ts,0,no,,,proposed,codex2,
packages-ai-file-540d7b7f,packages-ai,1,file,avaliacao.ts,packages/ai/src/evaluation/evaluation.ts,packages/ai/src/avaliacao/avaliacao.ts,1,no,,,proposed,codex2,
packages-ai-file-563c31d3,packages-ai,1,file,consumo.teste.ts,packages/ai/src/consumption/consumption.test.ts,packages/ai/src/consumo/consumo.teste.ts,0,no,,,proposed,codex2,
packages-ai-file-806b6a8e,packages-ai,1,file,transcricao.teste.ts,packages/ai/src/transcription/transcription.test.ts,packages/ai/src/transcricao/transcricao.teste.ts,0,no,,,proposed,codex2,
packages-ai-file-8494ea7f,packages-ai,1,file,classificacao.teste.ts,packages/ai/src/classification/classification.test.ts,packages/ai/src/classificacao/classificacao.teste.ts,0,no,,,proposed,codex2,
packages-ai-file-8c0cdb7d,packages-ai,1,file,avaliacao.ts,packages/ai/src/prompts/evaluation.ts,packages/ai/src/prompts/avaliacao.ts,1,no,,,proposed,codex2,
packages-ai-file-a3245d2f,packages-ai,1,file,cliente.teste.ts,packages/ai/src/cliente/cliente.test.ts,packages/ai/src/cliente/cliente.teste.ts,0,no,,,proposed,codex2,
packages-ai-file-a61e86bc,packages-ai,1,file,erros.ts,packages/ai/src/cliente/errors.ts,packages/ai/src/cliente/erros.ts,13,no,,,proposed,codex2,
packages-ai-file-ab485c67,packages-ai,1,file,classificacao.ts,packages/ai/src/prompts/classification.ts,packages/ai/src/prompts/classificacao.ts,0,no,,,proposed,codex2,
packages-ai-file-cab92a72,packages-ai,1,file,avaliacao.teste.ts,packages/ai/src/evaluation/evaluation.test.ts,packages/ai/src/avaliacao/avaliacao.teste.ts,0,no,,,proposed,codex2,
packages-ai-file-cc463769,packages-ai,1,file,bancada.teste.ts,packages/ai/src/workbench/workbench.test.ts,packages/ai/src/bancada/bancada.teste.ts,0,no,,,proposed,codex2,
packages-ai-script-9c2d183b,packages-ai,1,script,test:observar,test:watch,packages/ai/package.json:1,0,no,,D-07,proposed,codex2,
packages-ai-subpath-export-2c2449a3,packages-ai,1,subpath-export,./avaliacao,./evaluation,packages/ai/package.json:1,0,no,,,proposed,codex2,
packages-ai-subpath-export-9fcf3e0a,packages-ai,1,subpath-export,./transcricao,./transcription,packages/ai/package.json:1,0,no,,,proposed,codex2,
packages-ai-subpath-export-d6c7ea54,packages-ai,1,subpath-export,./classificacao,./classification,packages/ai/package.json:1,0,no,,,proposed,codex2,
packages-ai-symbol-00d8f859,packages-ai,1,symbol,porModelo,byTemplate,packages/ai/src/consumo/index.ts:82,1,no,,,proposed,codex2,
packages-ai-symbol-04d4b886,packages-ai,1,symbol,modelo,template,packages/ai/src/cliente/cliente.ts:142,361,no,,,proposed,codex2,
packages-ai-symbol-05ec7a02,packages-ai,1,symbol,criarChamada,createChamada,packages/ai/src/cliente/cliente.ts:140,2,no,,,proposed,codex2,
packages-ai-symbol-061fde84,packages-ai,1,symbol,descricao,description,packages/ai/src/prompts/classificacao.ts:70,299,no,,,proposed,codex2,
packages-ai-symbol-077638c7,packages-ai,1,symbol,OpcoesTranscricao,OptionsTranscription,packages/ai/src/transcricao/transcricao.ts:58,4,no,,,proposed,codex2,
packages-ai-symbol-0cf7aaab,packages-ai,1,symbol,DirecaoMensagem,DirectionMessage,packages/ai/src/transcricao/transcricao.ts:16,4,no,,,proposed,codex2,
packages-ai-symbol-0f0326d5,packages-ai,1,symbol,VALORES_CONFORME,VALUES_CONFORME,packages/ai/src/avaliacao/tipos.ts:16,2,no,,,proposed,codex2,
packages-ai-symbol-1489d848,packages-ai,1,symbol,OpcoesClassificacao,OptionsClassification,packages/ai/src/classificacao/index.ts:42,2,no,,,proposed,codex2,
packages-ai-symbol-16cf94eb,packages-ai,1,symbol,LinhaTranscricao,LinhaTranscription,packages/ai/src/transcricao/transcricao.ts:40,5,no,,,proposed,codex2,
packages-ai-symbol-17de46ae,packages-ai,1,symbol,PrecoModelo,PrecoTemplate,packages/ai/src/consumo/index.ts:13,2,no,,,proposed,codex2,
packages-ai-symbol-1a4079d0,packages-ai,1,symbol,EntradaAvaliacao,InboundEvaluation,packages/ai/src/prompts/avaliacao.ts:19,2,no,,,proposed,codex2,
packages-ai-symbol-1d7a1634,packages-ai,1,symbol,ErroChamadaIa,ChamadaIaError,packages/ai/src/cliente/erros.ts:20,5,no,,,proposed,codex2,
packages-ai-symbol-21e77efd,packages-ai,1,symbol,chaveDaOpcao,optionKey,packages/ai/src/prompts/classificacao.ts:47,11,no,,,proposed,codex2,
packages-ai-symbol-227933b5,packages-ai,1,symbol,modeloConfigurado,templateConfigurado,packages/ai/src/cliente/cliente.ts:58,2,no,,,proposed,codex2,
packages-ai-symbol-23cf21e8,packages-ai,1,symbol,OpcoesRetentativa,OptionsRetentativa,packages/ai/src/cliente/cliente.ts:62,3,no,,,proposed,codex2,
packages-ai-symbol-2783ddb7,packages-ai,1,symbol,casarOpcao,casarOption,packages/ai/src/classificacao/index.ts:81,4,no,,,proposed,codex2,
packages-ai-symbol-2854224e,packages-ai,1,symbol,dormirDeVerdade,trueDormir,packages/ai/src/cliente/cliente.ts:71,2,no,,,proposed,codex2,
packages-ai-symbol-2d6a8d60,packages-ai,1,symbol,PROMPT_RESUMO_ENCERRAMENTO,PROMPT_SUMMARY_CLOSURE,packages/ai/src/prompts/resumo.ts:67,3,no,,,proposed,codex2,
packages-ai-symbol-2e3700da,packages-ai,1,symbol,porId,byId,packages/ai/src/avaliacao/avaliacao.ts:98,7,no,,,proposed,codex2,
packages-ai-symbol-2ee76fea,packages-ai,1,symbol,classificarConversa,classificarConversation,packages/ai/src/classificacao/index.ts:92,9,no,,,proposed,codex2,
packages-ai-symbol-340faa89,packages-ai,1,symbol,contexto,context,packages/ai/src/prompts/classificacao.ts:89,300,no,,,proposed,codex2,
packages-ai-symbol-3831f6c0,packages-ai,1,symbol,fataisReprovados,fatalReprovados,packages/ai/src/avaliacao/nota.ts:92,9,no,,,proposed,codex2,
packages-ai-symbol-388a3900,packages-ai,1,symbol,AutorMensagem,AutorMessage,packages/ai/src/transcricao/transcricao.ts:17,4,no,,,proposed,codex2,
packages-ai-symbol-3f39841e,packages-ai,1,symbol,EsquemaAvaliacao,EsquemaEvaluation,packages/ai/src/avaliacao/avaliacao.ts:26,3,no,,,proposed,codex2,
packages-ai-symbol-40663295,packages-ai,1,symbol,OpcoesAvaliacao,OptionsEvaluation,packages/ai/src/avaliacao/avaliacao.ts:40,2,no,,,proposed,codex2,
packages-ai-symbol-40bbd928,packages-ai,1,symbol,iguais,equal,packages/ai/src/bancada/bancada.ts:138,28,no,,,proposed,codex2,
packages-ai-symbol-41911835,packages-ai,1,symbol,MODELO_PADRAO,TEMPLATE_DEFAULT,packages/ai/src/consumo/index.ts:33,6,no,,,proposed,codex2,
packages-ai-symbol-43e74b98,packages-ai,1,symbol,contexto,context,packages/ai/src/prompts/avaliacao.ts:58,300,no,,,proposed,codex2,
packages-ai-symbol-443ebb98,packages-ai,1,symbol,opcoes,options,packages/ai/src/prompts/classificacao.ts:80,157,no,,,proposed,codex2,
packages-ai-symbol-4480b866,packages-ai,1,symbol,porCaso,byCaso,packages/ai/src/bancada/bancada.ts:130,3,no,,,proposed,codex2,
packages-ai-symbol-465bbad6,packages-ai,1,symbol,avaliarConversa,avaliarConversation,packages/ai/src/avaliacao/avaliacao.ts:77,12,no,,,proposed,codex2,
packages-ai-symbol-47111b86,packages-ai,1,symbol,orcamentoFim,budgetFim,packages/ai/src/transcricao/transcricao.ts:189,2,no,,,proposed,codex2,
packages-ai-symbol-47bce473,packages-ai,1,symbol,descricao,description,packages/ai/src/prompts/avaliacao.ts:41,299,no,,,proposed,codex2,
packages-ai-symbol-4c6c1e11,packages-ai,1,symbol,corpoDaMensagem,messageCorpo,packages/ai/src/transcricao/transcricao.ts:107,9,no,,,proposed,codex2,
packages-ai-symbol-4f1bb709,packages-ai,1,symbol,iguaisNoCaso,equalInCaso,packages/ai/src/bancada/bancada.ts:156,3,no,,,proposed,codex2,
packages-ai-symbol-4f94caa9,packages-ai,1,symbol,PROMPT_AVALIACAO,PROMPT_EVALUATION,packages/ai/src/prompts/avaliacao.ts:51,3,no,,,proposed,codex2,
packages-ai-symbol-508f6e16,packages-ai,1,symbol,Esforco,Effort,packages/ai/src/cliente/cliente.ts:22,9,no,,,proposed,codex2,
packages-ai-symbol-51043f32,packages-ai,1,symbol,blocoIntencoes,blockIntents,packages/ai/src/prompts/classificacao.ts:82,2,no,,,proposed,codex2,
packages-ai-symbol-516128e4,packages-ai,1,symbol,Sentimento,Sentiment,packages/ai/src/classificacao/index.ts:27,3,no,,,proposed,codex2,
packages-ai-symbol-5c37f4c4,packages-ai,1,symbol,ValorConforme,ValueConforme,packages/ai/src/avaliacao/tipos.ts:17,1,no,,,proposed,codex2,
packages-ai-symbol-5c88dc03,packages-ai,1,symbol,AnexoTranscricao,AttachmentTranscription,packages/ai/src/transcricao/transcricao.ts:21,2,no,,,proposed,codex2,
packages-ai-symbol-611ff493,packages-ai,1,symbol,saudacao,greeting,packages/ai/src/bancada/bancada.teste.ts:140,4,no,,,proposed,codex2,
packages-ai-symbol-664652ee,packages-ai,1,symbol,fracao,fraction,packages/ai/src/avaliacao/nota.ts:83,39,no,,,proposed,codex2,
packages-ai-symbol-6b0b09db,packages-ai,1,symbol,RespostaAvaliacao,RespostaEvaluation,packages/ai/src/avaliacao/tipos.ts:55,5,no,,,proposed,codex2,
packages-ai-symbol-6df2ed54,packages-ai,1,symbol,fracao,fraction,packages/ai/src/avaliacao/avaliacao.ts:118,39,no,,,proposed,codex2,
packages-ai-symbol-6ed6c056,packages-ai,1,symbol,MensagemTranscricao,MessageTranscription,packages/ai/src/transcricao/transcricao.ts:29,12,no,,,proposed,codex2,
packages-ai-symbol-76e6494b,packages-ai,1,symbol,ESFORCO_PADRAO,EFFORT_DEFAULT,packages/ai/src/cliente/cliente.ts:53,2,no,,,proposed,codex2,
packages-ai-symbol-7862345c,packages-ai,1,symbol,EntradaResumo,InboundSummary,packages/ai/src/prompts/resumo.ts:12,7,no,,,proposed,codex2,
packages-ai-symbol-7e8f4864,packages-ai,1,symbol,MAX_CARACTERES_POR_MENSAGEM_PADRAO,MAX_CARACTERES_BY_MESSAGE_DEFAULT,packages/ai/src/transcricao/transcricao.ts:71,4,no,,,proposed,codex2,
packages-ai-symbol-82eab594,packages-ai,1,symbol,arquivo,file,packages/ai/src/transcricao/transcricao.ts:109,462,no,,,proposed,codex2,
packages-ai-symbol-85f0b7d7,packages-ai,1,symbol,resumirEncerramento,resumirClosure,packages/ai/src/resumo/index.ts:73,1,no,,,proposed,codex2,
packages-ai-symbol-8b3b8e54,packages-ai,1,symbol,maxPorMensagem,maxByMessage,packages/ai/src/transcricao/transcricao.ts:179,2,no,,,proposed,codex2,
packages-ai-symbol-8d79e91a,packages-ai,1,symbol,conversa,conversation,packages/ai/src/avaliacao/avaliacao.teste.ts:168,1270,no,,,proposed,codex2,
packages-ai-symbol-8e9d094f,packages-ai,1,symbol,SaidaAvaliacaoIa,OutputEvaluationIa,packages/ai/src/avaliacao/avaliacao.ts:38,1,no,,,proposed,codex2,
packages-ai-symbol-8f82ce62,packages-ai,1,symbol,fracaoDoValor,valueFraction,packages/ai/src/avaliacao/nota.ts:18,16,no,,,proposed,codex2,
packages-ai-symbol-94bc0918,packages-ai,1,symbol,parciais,partial,packages/ai/src/avaliacao/nota.ts:68,9,no,,,proposed,codex2,
packages-ai-symbol-986da610,packages-ai,1,symbol,Transcricao,Transcription,packages/ai/src/transcricao/transcricao.ts:47,10,no,,,proposed,codex2,
packages-ai-symbol-9fcdc1ad,packages-ai,1,symbol,porCriterio,byCriterio,packages/ai/src/bancada/bancada.ts:202,4,no,,,proposed,codex2,
packages-ai-symbol-a0acd816,packages-ai,1,symbol,prepararOpcoes,prepararOptions,packages/ai/src/prompts/classificacao.ts:55,10,no,,,proposed,codex2,
packages-ai-symbol-a0dddeea,packages-ai,1,symbol,EntradaClassificacao,InboundClassification,packages/ai/src/prompts/classificacao.ts:34,2,no,,,proposed,codex2,
packages-ai-symbol-a2ad9937,packages-ai,1,symbol,TipoMensagem,TipoMessage,packages/ai/src/transcricao/transcricao.ts:18,4,no,,,proposed,codex2,
packages-ai-symbol-a8d9d486,packages-ai,1,symbol,transcricao,transcription,packages/ai/src/avaliacao/avaliacao.teste.ts:208,40,no,,,proposed,codex2,
packages-ai-symbol-aae2f3a5,packages-ai,1,symbol,transcricao,transcription,packages/ai/src/classificacao/classificacao.teste.ts:22,40,no,,,proposed,codex2,
packages-ai-symbol-aeb688f3,packages-ai,1,symbol,porCriterio,byCriterio,packages/ai/src/avaliacao/nota.ts:64,4,no,,,proposed,codex2,
packages-ai-symbol-aff1aee8,packages-ai,1,symbol,fracaoInicio,fractionInicio,packages/ai/src/transcricao/transcricao.ts:180,4,no,,,proposed,codex2,
packages-ai-symbol-b36387ca,packages-ai,1,symbol,montarTranscricao,montarTranscription,packages/ai/src/transcricao/transcricao.ts:174,19,no,,,proposed,codex2,
packages-ai-symbol-b3d88520,packages-ai,1,symbol,OpcoesResumo,OptionsSummary,packages/ai/src/resumo/index.ts:22,4,no,,,proposed,codex2,
packages-ai-symbol-b525c6fb,packages-ai,1,symbol,valoresAceitos,valuesAceitos,packages/ai/src/prompts/avaliacao.ts:27,2,no,,,proposed,codex2,
packages-ai-symbol-b5a7445c,packages-ai,1,symbol,ResultadoAvaliacao,ResultEvaluation,packages/ai/src/avaliacao/tipos.ts:64,7,no,,,proposed,codex2,"fixed: resultado was missing from the dictionary (left PT)"
packages-ai-symbol-bf7721df,packages-ai,1,symbol,SENTIMENTOS,SENTIMENTS,packages/ai/src/classificacao/index.ts:26,5,no,,,proposed,codex2,
packages-ai-symbol-c4a722d6,packages-ai,1,symbol,FRACAO_INICIO_PADRAO,FRACTION_INICIO_DEFAULT,packages/ai/src/transcricao/transcricao.ts:72,2,no,,,proposed,codex2,
packages-ai-symbol-c5f333c0,packages-ai,1,symbol,mensagemId,messageId,packages/ai/src/avaliacao/avaliacao.ts:67,59,no,,,proposed,codex2,
packages-ai-symbol-c7b2a982,packages-ai,1,symbol,OpcoesBancada,OptionsWorkbench,packages/ai/src/bancada/bancada.ts:85,3,no,,,proposed,codex2,
packages-ai-symbol-c8a47f9d,packages-ai,1,symbol,mesmoValor,mesmoValue,packages/ai/src/bancada/bancada.ts:118,4,no,,,proposed,codex2,
packages-ai-symbol-c9535888,packages-ai,1,symbol,ErroFormatoIa,FormatIaError,packages/ai/src/cliente/erros.ts:8,33,no,,,proposed,codex2,
packages-ai-symbol-cd1524ed,packages-ai,1,symbol,erroDeApi,apiError,packages/ai/src/cliente/cliente.teste.ts:6,12,no,,,proposed,codex2,
packages-ai-symbol-cfa9e9e6,packages-ai,1,symbol,EsquemaAnexo,EsquemaAttachment,packages/ai/src/bancada/conjunto.ts:15,1,no,,,proposed,codex2,
packages-ai-symbol-d20229bd,packages-ai,1,symbol,bloco,block,packages/ai/src/prompts/resumo.ts:39,665,no,,,proposed,codex2,
packages-ai-symbol-d2237984,packages-ai,1,symbol,OpcaoTaxonomia,OptionTaxonomia,packages/ai/src/prompts/classificacao.ts:20,8,no,,,proposed,codex2,
packages-ai-symbol-d4e145d3,packages-ai,1,symbol,PROMPT_CLASSIFICACAO,PROMPT_CLASSIFICATION,packages/ai/src/prompts/classificacao.ts:76,4,no,,,proposed,codex2,
packages-ai-symbol-d9cf9824,packages-ai,1,symbol,orcamentoInicio,budgetInicio,packages/ai/src/transcricao/transcricao.ts:188,3,no,,,proposed,codex2,
packages-ai-symbol-dc01abcc,packages-ai,1,symbol,MAX_OPCOES_PADRAO,MAX_OPTIONS_DEFAULT,packages/ai/src/prompts/classificacao.ts:44,2,no,,,proposed,codex2,
packages-ai-symbol-dde470dd,packages-ai,1,symbol,EsquemaMensagem,EsquemaMessage,packages/ai/src/bancada/conjunto.ts:21,2,no,,,proposed,codex2,
packages-ai-symbol-e3143b00,packages-ai,1,symbol,duracao,duration,packages/ai/src/transcricao/transcricao.ts:91,55,no,,,proposed,codex2,
packages-ai-symbol-e60fd4a6,packages-ai,1,symbol,EsquemaClassificacao,EsquemaClassification,packages/ai/src/classificacao/index.ts:33,2,no,,,proposed,codex2,
packages-ai-symbol-ec1ba6fc,packages-ai,1,symbol,contexto,context,packages/ai/src/prompts/resumo.ts:40,300,no,,,proposed,codex2,
packages-ai-symbol-ee36de89,packages-ai,1,symbol,ResultadoClassificacao,ResultClassification,packages/ai/src/classificacao/index.ts:52,2,no,,,proposed,codex2,"fixed: resultado was missing from the dictionary (left PT)"
packages-ai-symbol-f0216ca8,packages-ai,1,symbol,ErroModeloSemPreco,TemplateWithoutPrecoError,packages/ai/src/consumo/index.ts:35,5,no,,,proposed,codex2,
packages-ai-symbol-fb9ec381,packages-ai,1,symbol,intencoes,intents,packages/ai/src/prompts/classificacao.ts:81,3,no,,,proposed,codex2,
packages-ai-symbol-ffa9ba5f,packages-ai,1,symbol,evidenciaMensagemId,evidenciaMessageId,packages/ai/src/avaliacao/avaliacao.ts:117,13,no,,,proposed,codex2,
packages-ai-test-title-0721db34,packages-ai,1,test-title,erro nosso não vale: repetir só gasta dinheiro,our own error does not count: retrying only wastes money,packages/ai/src/cliente/cliente.teste.ts:20,0,no,,,proposed,codex2,
packages-ai-test-title-0afb9907,packages-ai,1,test-title,"grava o rótulo da taxonomia, não o que o modelo digitou","stores the taxonomy label, not what the model typed",packages/ai/src/classificacao/classificacao.teste.ts:101,0,no,,,proposed,codex2,
packages-ai-test-title-11a49d08,packages-ai,1,test-title,as contas fecham: início + fim + omitidas = total,the counts add up: start + end + omitted = total,packages/ai/src/transcricao/transcricao.teste.ts:173,0,no,,,proposed,codex2,
packages-ai-test-title-141f0cba,packages-ai,1,test-title,estoura em modelo sem preço em vez de devolver custo zero,throws for a model without a price instead of returning zero cost,packages/ai/src/consumo/consumo.teste.ts:37,0,no,,,proposed,codex2,
packages-ai-test-title-2034e61d,packages-ai,1,test-title,"ordena por tempo, numera e indexa cada linha","sorts by time, numbers and indexes each line",packages/ai/src/transcricao/transcricao.teste.ts:94,0,no,,,proposed,codex2,
packages-ai-test-title-20a21f54,packages-ai,1,test-title,"preserva início e fim, que é onde está a informação","preserves the start and end, where the information is",packages/ai/src/transcricao/transcricao.teste.ts:147,0,no,,,proposed,codex2,
packages-ai-test-title-24f13ce2,packages-ai,1,test-title,não deixa mensagem vazia sumir,does not let an empty message disappear,packages/ai/src/transcricao/transcricao.teste.ts:88,0,no,,,proposed,codex2,
packages-ai-test-title-3bff1029,packages-ai,1,test-title,"critério sem resposta é erro, nunca zero silencioso","a criterion with no answer is an error, never a silent zero",packages/ai/src/avaliacao/avaliacao.teste.ts:159,0,no,,,proposed,codex2,
packages-ai-test-title-3f78736f,packages-ai,1,test-title,respeita o orçamento de caracteres com folga da marca de corte,respects the character budget with headroom from the cutoff marker,packages/ai/src/transcricao/transcricao.teste.ts:160,0,no,,,proposed,codex2,
packages-ai-test-title-4c266db9,packages-ai,1,test-title,cobra entrada e saída pelas tarifas do modelo,charges input and output at the model's rates,packages/ai/src/consumo/consumo.teste.ts:21,0,no,,,proposed,codex2,
packages-ai-test-title-4fd844a1,packages-ai,1,test-title,carrega os casos do arquivo e converte os carimbos em Date,loads the cases from the file and converts timestamps into Date,packages/ai/src/bancada/bancada.teste.ts:47,0,no,,,proposed,codex2,
packages-ai-test-title-56fd689f,packages-ai,1,test-title,cobra mais caro no modelo mais caro,charges more for the more expensive model,packages/ai/src/consumo/consumo.teste.ts:33,0,no,,,proposed,codex2,
packages-ai-test-title-62a446eb,packages-ai,1,test-title,corpo da mensagem,message body,packages/ai/src/transcricao/transcricao.teste.ts:45,0,no,,,proposed,codex2,
packages-ai-test-title-6685932d,packages-ai,1,test-title,tem o modelo padrão cadastrado,has the default model registered,packages/ai/src/consumo/consumo.teste.ts:14,0,no,,,proposed,codex2,
packages-ai-test-title-66bff05b,packages-ai,1,test-title,prompt de classificação,classification prompt,packages/ai/src/classificacao/classificacao.teste.ts:70,0,no,,,proposed,codex2,
packages-ai-test-title-683ab337,packages-ai,1,test-title,truncamento,truncation,packages/ai/src/transcricao/transcricao.teste.ts:131,4,no,,,proposed,codex2,
packages-ai-test-title-69b9d420,packages-ai,1,test-title,"o gabarito de ""dado-de-terceiro"" zera a nota pelo critério fatal","the ""third-party data"" answer key zeros the score via the fatal criterion",packages/ai/src/bancada/bancada.teste.ts:61,0,no,,,proposed,codex2,
