id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
packages-contracts-comment-5710bdc9,packages-contracts,packages/contracts/src/desk.ts,1,11,jsdoc,10,"/**
 * As telas do DESK: o que `GET /v1/desk/…` responde e o front desenha.
 *
 * Data é TEXTO (ISO 8601): é assim que atravessa o JSON. Quem mostra converte
 * com `new Date(...)` na ponta — nunca no contrato. Foi a única mudança de
 * forma na migração do Desk em Next: lá as consultas devolviam `Date` porque
 * a página e o banco viviam no mesmo processo.
 *
 * A forma é a das consultas em `apps/api/src/dominio/desk/*.ts`; se uma coluna
 * entra ou sai de lá, entra ou sai daqui, e o `tsc` do front acusa.
 */",translate,"Desk screen contracts describe responses from `GET /v1/desk/…` rendered by the front end. Dates cross JSON as ISO 8601 text; the display converts them with `new Date(...)`, never the contract. This was the sole shape change in the Next Desk migration, where page and database shared a process and queries returned `Date`. These shapes follow queries in `apps/api/src/dominio/desk/*.ts`; changing a query column requires a matching contract change, surfaced by front-end `tsc`.",integration,packages/contracts/src/desk.ts:1-11; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-4623fc82,packages-contracts,packages/contracts/src/desk.ts,14,19,jsdoc,6,"/**
 * A régua de prioridade é a de `@pipe/core/conversa` (`NIVEIS_PRIORIDADE`),
 * escrita aqui por extenso porque o contrato não importa pacote nenhum. Os
 * cinco literais são os mesmos, e o `tsc` do front acusa se um deles divergir
 * ao indexar `ROTULOS_PRIORIDADE` com este tipo.
 */",translate,Priority levels match `@pipe/core/conversa` (`NIVEIS_PRIORIDADE`) but are spelled out here because the contracts package imports no packages. All five literals match; front-end `tsc` catches divergence when indexing `ROTULOS_PRIORIDADE` with this type.,architecture,packages/contracts/src/desk.ts:14-19; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-33e10acd,packages-contracts,packages/contracts/src/desk.ts,151,154,jsdoc,5,"/**
   * Os nomes das variáveis NA ORDEM das posições `{{1}}`, `{{2}}`, … Sem
   * isto a tela não tem como resolver o corpo.
   */",translate,"Variable names in the order of `{{1}}`, `{{2}}`, etc. Without that order, the UI cannot resolve the body.",integration,packages/contracts/src/desk.ts:151-154; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-50c27a24,packages-contracts,packages/contracts/src/desk.ts,171,171,jsdoc,3,/** A conversa aberta e tudo o que a coluna do meio e o painel do contato mostram dela. */,remove,,other,packages/contracts/src/desk.ts:171-171,codex,reviewed
packages-contracts-comment-24205784,packages-contracts,packages/contracts/src/desk.ts,177,181,jsdoc,5,"/**
   * As etiquetas do CONTATO (`contato_etiqueta`), que o painel ""Dados do
   * Contato"" mostra e edita. Separadas das da conversa porque são de escopos
   * diferentes (`etiqueta.escopo`) e não se herdam.
   */",translate,CONTACT tags (`contato_etiqueta`) shown and edited in the Contact Data panel. They stay separate from conversation tags because `etiqueta.escopo` gives them different scopes; neither scope inherits the other.,architecture,packages/contracts/src/desk.ts:177-181; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-a47bf295,packages-contracts,packages/contracts/src/desk.ts,186,191,jsdoc,14,"/**
 * `GET /v1/desk/conversas/:id`. `aberta` é `null` quando a conversa não é do
 * atendente (ou não existe) — resposta 200, e não 404, porque a tela tem o que
 * fazer nesse caso: volta para a fila sem conversa aberta, como a página em
 * Next fazia, sem passar pelo caminho de erro do cache.
 */",translate,"`GET /v1/desk/conversas/:id` returns `aberta: null` with HTTP 200 when the conversation does not exist or does not belong to this agent. The UI then returns to the queue without an open conversation, as the Next page did, without entering the cache error path.",integration,packages/contracts/src/desk.ts:186-191; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-bf1da7cd,packages-contracts,packages/contracts/src/desk.ts,213,213,jsdoc,1,/** Quem atendeu. Nulo é atendimento que nunca saiu do robô. */,translate,Agent who handled the ticket; null means it never left the bot.,other,packages/contracts/src/desk.ts:213-213,codex,reviewed
packages-contracts-comment-4e5221eb,packages-contracts,packages/contracts/src/desk.ts,216,216,jsdoc,1,/** Quem encerrou. Nulo com `encerradaEm` preenchido é fim automático. */,translate,Agent who closed it; null with `encerradaEm` set means automatic closure.,other,packages/contracts/src/desk.ts:216-216,codex,reviewed
packages-contracts-comment-be5c84ab,packages-contracts,packages/contracts/src/desk.ts,220,226,jsdoc,8,"/**
 * `GET /v1/desk/tickets/:id` — o atendimento antigo, em leitura. 404 quando
 * não existe (ou é de outro cliente: a RLS não o enxerga).
 *
 * O `status` vai junto porque o trilho o mostra em toda tela, e uma ida só à
 * `api` por tela é a régua.
 */",translate,`GET /v1/desk/tickets/:id` reads an old ticket. It returns 404 when absent or hidden by tenant RLS. `status` is included because the rail shows it on every screen and the screen uses one API request.,security,packages/contracts/src/desk.ts:220-226; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-66b1acb6,packages-contracts,packages/contracts/src/desk.ts,234,234,block,0,/* ------------------------------------------------------------ métricas */,remove,,other,packages/contracts/src/desk.ts:234-234,codex,reviewed
packages-contracts-comment-7476ade1,packages-contracts,packages/contracts/src/desk.ts,241,241,jsdoc,3,"/** `null` é ""o domínio ainda não guarda isto"", e não zero. */",translate,"`null` means the domain does not yet store this, rather than zero.",other,packages/contracts/src/desk.ts:241-241,codex,reviewed
packages-contracts-comment-698a0c6b,packages-contracts,packages/contracts/src/desk.ts,247,247,jsdoc,1,"/** Da chegada até a primeira palavra do atendente, em segundos. */",translate,Seconds from arrival to the agent's first response.,other,packages/contracts/src/desk.ts:247-247,codex,reviewed
packages-contracts-comment-b2fddf65,packages-contracts,packages/contracts/src/desk.ts,249,249,jsdoc,0,"/** Da abertura até cair no colo de alguém, em segundos. */",translate,Seconds from opening until assignment to an agent.,other,packages/contracts/src/desk.ts:249-249,codex,reviewed
packages-contracts-comment-e5c50ea1,packages-contracts,packages/contracts/src/desk.ts,251,251,jsdoc,3,"/** Fila mais o tempo que a conversa passou em espera, em segundos. */",translate,"Queue time plus time the conversation spent on hold, in seconds.",other,packages/contracts/src/desk.ts:251-251,codex,reviewed
packages-contracts-comment-8d219469,packages-contracts,packages/contracts/src/desk.ts,267,274,jsdoc,6,"/**
 * `GET /v1/desk/metricas?inicio=&fim=` (ISO 8601). O recorte é calculado no
 * navegador (`lib/periodo.ts`), no relógio de quem olha — como a página em
 * Next fazia no relógio do servidor —, e a `api` só o aplica.
 *
 * O `status` vai junto porque o trilho o mostra em toda tela, e uma ida só à
 * `api` por tela é a régua.
 */",translate,"`GET /v1/desk/metricas?inicio=&fim=` takes ISO 8601 bounds. The browser computes the interval in the viewer's clock (`lib/periodo.ts`), as the Next page formerly did on the server clock; the API only applies it. `status` travels with metrics because the rail displays it on every screen, allowing one API request per screen.",integration,packages/contracts/src/desk.ts:267-274; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-52790540,packages-contracts,packages/contracts/src/desk.ts,285,285,jsdoc,3,/** Link para a FICHA daquele cliente no CRM. Nunca a home. */,translate,"Link to this customer's CRM record, never the home page.",integration,packages/contracts/src/desk.ts:285-285; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-405b2581,packages-contracts,packages/contracts/src/desk.ts,31,31,jsdoc,5,"/** Nulo é conversa que o atendente ainda não respondeu — é a ficha ""Sem resposta"". */",translate,Null means the agent has not answered this conversation yet; shown as the Unanswered card.,other,packages/contracts/src/desk.ts:31-31,codex,reviewed
packages-contracts-comment-50ef30e8,packages-contracts,packages/contracts/src/desk.ts,36,36,jsdoc,2,/** Desde quando está em espera — o cronômetro da ficha 'Em espera' do cartão. */,translate,"When the hold started, used by the On Hold card timer.",other,packages/contracts/src/desk.ts:36-36,codex,reviewed
packages-contracts-comment-1bf4ada6,packages-contracts,packages/contracts/src/desk.ts,44,48,jsdoc,8,"/**
   * As marcações DESTE atendente (`marcacao_conversa`, migração 0041): fixada no
   * topo da lista e marcada à mão como não lida. Nulo é ""não marcada"". São do
   * atendente, não da conversa — o colega que recebe a transferência não as vê.
   */",translate,"This agent's own markers (`marcacao_conversa`, migration 0041): pinned at the top of the list and manually marked unread. Null means unmarked. They belong to the agent, not the conversation; a colleague receiving a transfer does not see them.",architecture,packages/contracts/src/desk.ts:44-48; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-8a273c30,packages-contracts,packages/contracts/src/desk.ts,86,92,jsdoc,12,"/**
 * O que `GET /v1/desk/fila` devolve: a fila do atendente e os catálogos que a
 * coluna precisa para desenhar — status, motivos de pausa, etiquetas, colegas
 * e respostas prontas. Tudo numa ida só, na mesma transação, como a página em
 * Next fazia; a busca, a ficha, a ordem e o recorte por fila continuam sendo
 * do navegador (`lib/ordem.ts`), porque são regras puras sobre a lista inteira.
 */",translate,"`GET /v1/desk/fila` returns the agent queue and catalogs needed by its column: status, pause reasons, tags, colleagues, and canned responses. One request and transaction mirror the Next page. Search, card, ordering, and queue filtering stay in the browser (`lib/ordem.ts`) because they are pure rules over the full list.",integration,packages/contracts/src/desk.ts:86-92; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-contracts-comment-9809afc0,packages-contracts,packages/contracts/src/desk.ts,95,95,jsdoc,2,"/** ""Clientes aguardando"": conversas na fila, nas filas do atendente. O botão ""Atender"" puxa a mais antiga. */",translate,Waiting customers: queued conversations in this agent's queues. The Answer button takes the oldest.,other,packages/contracts/src/desk.ts:95-95,codex,reviewed
packages-contracts-comment-344ce6f5,packages-contracts,packages/contracts/src/encerramento.ts,1,5,jsdoc,5,"/**
 * `POST /v1/conversas/:id/encerrar` e a ação correspondente do monitoramento.
 * A Blip aceita a lista de tags removíveis de `blip-tags`; o campo singular
 * continua existindo para clientes antigos da Pipe durante a migração.
 */",translate,`POST /v1/conversas/:id/encerrar` and the matching monitoring action. Blip accepts removable tag lists from `blip-tags`; the singular field remains for old Pipe clients during migration.,meta-blip,packages/contracts/src/encerramento.ts:1-5; pre-triage D-40; needs slice-time confirmation,codex,reviewed
