id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
packages-core-comment-5fa126a7,packages-core,packages/core/src/analise/index.ts,1,21,jsdoc,20,"/**
 * A Análise do contato — Dashboard e Mensagens ativas: a parte PURA (período,
 * formatação, escala, tipos). As consultas vivem na `api`
 * (`dominio/gestao-analise.ts`); a tela e a `api` importam daqui.
 *
 * A Análise do contato — Dashboard e Mensagens ativas.
 *
 * A régua é o `portal-fragment-analytics` da origem (`analytics-main.js`, o
 * micro-frontend React que o portal monta com `<analytics-mfe page=""…"">`). Lá
 * as contas moram no navegador: o período sai do `Date` local, a formatação do
 * `toLocaleString`, e cada seção pede um comando `/metrics/…` ao
 * `postmaster@analytics.msging.net`. Aqui o período e a formatação são funções
 * puras (o teste `tests/analise.test.ts` as trava), e os números saem do banco.
 *
 * ═══ AS DATAS SÃO DIAS DE CALENDÁRIO, NO FUSO DA CONTA ═══
 *
 * Lá o ""hoje"" é o do computador de quem abre a tela e o intervalo vai ao
 * servidor como `AAAA-MM-DDT00:00:00.000Z` (`ut()`), só com a data. Então o
 * que importa é a DATA, e aqui ela é texto `AAAA-MM-DD` calculado no fuso do
 * tenant — conta de dia com `Date.UTC` não tropeça em horário de verão.
 */",translate,"Contact Analytics Dashboard and active messages share pure period, formatting, scale, and type rules here. Queries live in the `api` (`dominio/gestao-analise.ts`); both screen and API import these rules. The source is `portal-fragment-analytics` (`analytics-main.js`), mounted as `<analytics-mfe page=""…"">`. There, browser `Date` and `toLocaleString` compute periods and formatting, while sections request `/metrics/…` from `postmaster@analytics.msging.net`. Here those calculations are pure and covered by `tests/analise.test.ts`, while figures come from the database. Dates mean calendar days in the account timezone. The source sends the viewer-local date as `AAAA-MM-DDT00:00:00.000Z` via `ut()`; here it is `AAAA-MM-DD` text in the tenant timezone, and `Date.UTC` day arithmetic avoids daylight-saving errors.",meta-blip,packages/core/src/analise/index.ts:1-21; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-core-comment-db1117d8,packages-core,packages/core/src/analise/index.ts,124,124,jsdoc,2,"/** `ft()`: o mesmo tanto de dias, logo antes. É contra ele que a variação compara. */",translate,`ft()`: the equally long immediately preceding period used for comparison.,meta-blip,packages/core/src/analise/index.ts:124-124; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-core-comment-aa9b3468,packages-core,packages/core/src/analise/index.ts,130,130,jsdoc,0,"/** Cada dia do intervalo, em ordem — um ponto por dia nos gráficos. */",remove,,other,packages/core/src/analise/index.ts:130-130,codex,reviewed
packages-core-comment-caec9359,packages-core,packages/core/src/analise/index.ts,137,137,jsdoc,0,"/** `rt()`: o rótulo curto do eixo, `dd/mm`. */",translate,`rt()`: short `dd/mm` axis label.,meta-blip,packages/core/src/analise/index.ts:137-137; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-core-comment-c863420d,packages-core,packages/core/src/analise/index.ts,152,152,jsdoc,0,"/** `IS()`: o texto do período ao lado do título (""13 de setembro de 2026 - 00h às 23h59""). */",translate,"`IS()`: period label beside the title, e.g. ""13 de setembro de 2026 - 00h às 23h59"".",meta-blip,packages/core/src/analise/index.ts:152-152; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-core-comment-8946f827,packages-core,packages/core/src/analise/index.ts,159,164,jsdoc,5,"/**
 * A dica do indicador de comparação — `XS()` com o dicionário `QS`.
 *
 * `foraDoAlcance` é o ramo `outOfRangeMessage`: quando o período anterior
 * começa antes de 90 dias atrás, a origem troca a dica E apaga o número (""-"").
 */",translate,"Comparison indicator hint from `XS()` and dictionary `QS`. `foraDoAlcance` mirrors `outOfRangeMessage`: if the previous period starts more than 90 days ago, the source changes the hint and clears the number to ""-"".",meta-blip,packages/core/src/analise/index.ts:159-164; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-core-comment-40e0fbe5,packages-core,packages/core/src/analise/index.ts,174,174,block,0,"/* O `.replace(""-"", pronome)` da origem troca só o PRIMEIRO hífen. */",translate,"The source `.replace(""-"", pronome)` replaces only the FIRST hyphen.",meta-blip,packages/core/src/analise/index.ts:174-174; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-core-comment-94f85a9e,packages-core,packages/core/src/analise/index.ts,181,181,block,0,/* --------------------------------------------------------------- números */,remove,,other,packages/core/src/analise/index.ts:181-181,codex,reviewed
packages-core-comment-7e402bb2,packages-core,packages/core/src/analise/index.ts,183,191,jsdoc,4,"/**
 * `WS()` da origem, que formata TODO número das duas telas.
 *
 * Absoluto: abaixo de 100 arredonda em 2 casas, a partir de 100 em inteiro
 * (`ZS`); ausente vira `padrao`. Percentual: recebe FRAÇÃO, multiplica por 100
 * (`jS`), e zero vira `padrao` — por isso ""Taxa de rejeição"" vazia é ""0%"" (o
 * `Tc` passado como padrão) e o indicador de comparação vazio é ""-"".
 * `sinal` põe ""+"" na frente do positivo (`PS`).
 */",translate,"Source `WS()` formats every number on both screens. Absolute values below 100 round to two decimals and values from 100 to integers (`ZS`); missing values become `padrao`. Percentages accept a FRACTION and multiply by 100 (`jS`); zero becomes `padrao`, so an empty ""Taxa de rejeição"" is ""0%"" via `Tc` while empty comparison is ""-"". `sinal` prefixes positive percentages with ""+"" (`PS`).",meta-blip,packages/core/src/analise/index.ts:183-191; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-core-comment-ee31a881,packages-core,packages/core/src/analise/index.ts,211,217,jsdoc,4,"/**
 * Os tiques do eixo de valor dos gráficos — o `generateTicks` do chart.js
 * 3.9.1 que vem no bundle (o `niceNum` da linha ~34171: ≤1 → 1, ≤2 → 2,
 * ≤5 → 5, senão 10). Passo = `niceNum(máximo / 10)`; se o topo arredondado
 * passar de 10 espaços, o passo é refeito sobre ele. Tudo zero vira 0 a 1,
 * que é o `min === max` do `LinearScale`.
 */",translate,"Chart value-axis ticks match bundled chart.js 3.9.1 `generateTicks` and `niceNum` near line 34171: values ≤1, ≤2, ≤5, then 10. Step is `niceNum(maximum / 10)`; if rounded top exceeds ten intervals, recalculate it from that top. All zeros produce 0–1, matching `LinearScale` when `min === max`.",integration,packages/core/src/analise/index.ts:211-217; pre-triage D-40; needs slice-time confirmation,codex,reviewed
