endpoint,method,response_source,keys_affected,decision,decision_ref,notes
/v1/canais/instagram/:id,DELETE,mapped,canal fields (CanalInstagramVisivel),rename-with-db-key,D-09,desconectarInstagram mapped; controladores/canais-instagram.ts:48-57 | evidence: apps/api/src/controladores/canais-instagram.ts:48
/v1/canais/messenger/:id,DELETE,mapped,canal fields,rename-with-db-key,D-09,controladores/canais-messenger.ts:8 | evidence: apps/api/src/controladores/canais-messenger.ts:8
/v1/canais/whatsapp/:id/modelos/:nome,DELETE,mapped,removidos,rename-with-db-key,D-09,controladores/canais.ts:250-260 | evidence: apps/api/src/controladores/canais.ts:250
/v1/canais/whatsapp/:id,DELETE,mapped,canal fields (CanalWhatsAppVisivel),rename-with-db-key,D-09,dominio/canais.ts desconectarWhatsApp | evidence: apps/api/src/controladores/canais.ts:263
/v1/contatos/:id/etiquetas/:etiquetaId,DELETE,mapped,removida,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint; desetiquetarContato mapped, dominio/etiquetas.ts:279-301 | evidence: apps/api/src/controladores/etiquetas.ts:125"
/v1/conversas/:id/etiquetas/:etiquetaId,DELETE,mapped,removida,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint; desetiquetarConversa mapped, dominio/etiquetas.ts:169-204 | evidence: apps/api/src/controladores/etiquetas.ts:80"
/v1/gestao/atendentes/filas/:id/atendentes/:atendenteId,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:230 | evidence: apps/api/src/controladores/gestao-cadastros.ts:230
/v1/gestao/atendentes/filas/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:196 | evidence: apps/api/src/controladores/gestao-cadastros.ts:196
/v1/gestao/atendentes/pausas/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:561 | evidence: apps/api/src/controladores/gestao-cadastros.ts:561
/v1/gestao/comunicacao/respostas-prontas/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:519 | evidence: apps/api/src/controladores/gestao-cadastros.ts:519
/v1/gestao/configuracoes/palavras-proibidas/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:401 | evidence: apps/api/src/controladores/gestao-cadastros.ts:401
/v1/gestao/configuracoes/regras/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:353 | evidence: apps/api/src/controladores/gestao-cadastros.ts:353
/v1/gestao/contrato/certificados/:id/hosts/:hostId,DELETE,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-conta.ts:221"
/v1/gestao/contrato/certificados/:id,DELETE,mapped,(see dominio/gestao/*.ts explicit .select({...}) column list for this handler),rename-with-db-key,D-09,"gestao/* cluster confirmed via grep: every dominio/gestao/*.ts file except dicionario-crm.ts uses explicit tx.select({...}) column lists, never bare .select() - default mapped/rename-with-db-key; ComSessao-only (no API key scope) | evidence: apps/api/src/controladores/gestao-conta.ts:203"
/v1/gestao/fluxos/:id/canal,DELETE,none,,keep,D-09,204 no body; controladores/gestao-fluxo.ts:287 | evidence: apps/api/src/controladores/gestao-fluxo.ts:287
/v1/gestao/fluxos/:id/chaves/:chaveId,DELETE,none,,keep,D-09,204 no body; controladores/gestao-integracoes.ts:98 | evidence: apps/api/src/controladores/gestao-integracoes.ts:98
/v1/gestao/fluxos/:id/equipe/:usuarioId,DELETE,none,,keep,D-09,204 no body; controladores/gestao-equipe.ts:106 | evidence: apps/api/src/controladores/gestao-equipe.ts:106
/v1/gestao/fluxos/:id/servicos/:servicoId,DELETE,none,,keep,D-09,204 no body; controladores/gestao-fluxo.ts:482 | evidence: apps/api/src/controladores/gestao-fluxo.ts:482
/v1/gestao/fluxos/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-fluxo.ts:201 | evidence: apps/api/src/controladores/gestao-fluxo.ts:201
/v1/gestao/regras/atendimento/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:262 | evidence: apps/api/src/controladores/gestao-cadastros.ts:262
/v1/gestao/regras/horarios/excecoes/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:314 | evidence: apps/api/src/controladores/gestao-cadastros.ts:314
/v1/gestao/regras/horarios/faixas/:id,DELETE,none,,keep,D-09,204 no body; controladores/gestao-cadastros.ts:289 | evidence: apps/api/src/controladores/gestao-cadastros.ts:289
/v1/gestao/regras/prioridade/:id,DELETE,none,,keep,D-09,204 no body | evidence: apps/api/src/controladores/gestao-cadastros.ts:443
/v1/gestao/webhooks/:webhookId,DELETE,none,,keep,D-09,204 no body | evidence: apps/api/src/controladores/gestao-integracoes.ts:197
/l/:codigo,GET,none,,keep,D-09,"302 redirect, no body; controladores/redirecionamento.ts:14-28 | evidence: apps/api/src/controladores/redirecionamento.ts:14"
/metrics,GET,none,,keep,D-09,"Prometheus text exposition format, not JSON; controladores/operacao.ts:62-69 | evidence: apps/api/src/controladores/operacao.ts:62"
/saude,GET,mapped,ok,keep,D-09,"consumed by the orchestrator health probe (external to this repo), controladores/operacao.ts:53-60 | evidence: apps/api/src/controladores/operacao.ts:53"
/v1/anexos/:id,GET,none,,keep,D-09,"Binary stream via res.end, no JSON body; controladores/anexos.ts:60-96 | evidence: apps/api/src/controladores/anexos.ts:60"
/v1/atendentes,GET,mapped,id;nome;email;estado;desde;conversas_ativas,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint (Escopos atendentes:ler); controladores/catalogo.ts:418-429 | evidence: apps/api/src/controladores/catalogo.ts:367"
/v1/auth/dev,GET,none,,keep,D-09,"dev-only redirect/plain-text 404, no stable JSON; controladores/entrar.ts:228-258 | evidence: apps/api/src/controladores/entrar.ts:228"
/v1/auth/google/retorno,GET,none,,keep,D-09,"D-12 corte seco route rename only; redirect, no JSON; controladores/entrar.ts:289-347 | evidence: apps/api/src/controladores/entrar.ts:289"
/v1/auth/google,GET,none,,keep,D-09,redirect to Google OAuth; controladores/entrar.ts:267-286 | evidence: apps/api/src/controladores/entrar.ts:267
/v1/auth/sso/:slug,GET,none,,keep,D-09,302 redirect; controladores/sso.ts:209-230 | evidence: apps/api/src/controladores/sso.ts:209
/v1/auth/sso/retorno,GET,mapped,resultado;emissor;sujeito;email;emailVerificado;nome;casaComUsuario;aviso;codigo;motivo,rename-with-db-key,D-09,"test-mode branch returns real JSON (res.json), controladores/sso.ts:161-198; login branch is a 302 redirect (none) | evidence: apps/api/src/controladores/sso.ts:136"
/v1/auth/sso/testar,GET,none,,keep,D-09,sets cookie + 302 redirect; controladores/sso.ts:113-127 | evidence: apps/api/src/controladores/sso.ts:113
/v1/canais/instagram,GET,mapped,canais,rename-with-db-key,D-09,listarCanaisInstagram mapped via visivel(); controladores/canais-instagram.ts:20-24 | evidence: apps/api/src/controladores/canais-instagram.ts:18
/v1/canais/messenger,GET,mapped,canais,rename-with-db-key,D-09,listarCanaisMessenger mapped; controladores/canais-messenger.ts:6 | evidence: apps/api/src/controladores/canais-messenger.ts:6
/v1/canais/whatsapp/:id/perfil,GET,mapped,PerfilVisivel fields,rename-with-db-key,D-09,dominio/whatsapp/perfil.ts lerPerfilDoCanal | evidence: apps/api/src/controladores/canais.ts:178
/v1/canais/whatsapp/:id/preferencias,GET,mapped,PreferenciasDoCanal fields,rename-with-db-key,D-09,dominio/whatsapp/preferencias.ts lerPreferencias | evidence: apps/api/src/controladores/canais.ts:199
/v1/canais/whatsapp,GET,mapped,canais,rename-with-db-key,D-09,"listarCanaisWhatsApp -> visivel() mapper, dominio/canais.ts:40-113; controladores/canais.ts:46-49 | evidence: apps/api/src/controladores/canais.ts:44"
/v1/conta,GET,mapped,ContaEmVigor fields (paraContrato),rename-with-db-key,D-09,controladores/minha-conta.ts:181-195 | evidence: apps/api/src/controladores/minha-conta.ts:179
/v1/contas/minhas,GET,mapped,tenantId;nome;slug;plano;emVigor;onboardingConcluido;pessoal,rename-with-db-key,D-09,controladores/minha-conta.ts:261-293 | evidence: apps/api/src/controladores/minha-conta.ts:259
/v1/contatos/:id/etiquetas,GET,raw-rows,id;nome;cor,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint (ChaveOuSessao); listarEtiquetasDoContato returns rows unmapped, dominio/etiquetas.ts:214-227 | evidence: apps/api/src/controladores/etiquetas.ts:100"
/v1/contatos/:id,GET,mapped,id;nome;telefone_e164;email;documento;bloqueado;criado_em;atributos,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint (contatos:ler); comoContato, controladores/catalogo.ts:106-122 | evidence: apps/api/src/controladores/catalogo.ts:106"
/v1/contatos/importacoes/:id/falhas,GET,none,,keep,D-09,"CSV text stream via res.send, not JSON; controladores/importacoes.ts:65-79 | evidence: apps/api/src/controladores/importacoes.ts:65"
/v1/contatos/importacoes/:id,GET,mapped,ImportacaoVisivel fields,rename-with-db-key,D-09,controladores/importacoes.ts:55-62 | evidence: apps/api/src/controladores/importacoes.ts:53
/v1/contatos/importacoes,GET,mapped,importacoes,rename-with-db-key,D-09,controladores/importacoes.ts:47-51 | evidence: apps/api/src/controladores/importacoes.ts:45
/v1/contatos,GET,mapped,id;nome;telefone_e164;email;documento;bloqueado;criado_em;atributos,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint (contatos:ler); comoContato explicit mapper, controladores/catalogo.ts:99-103,433-444; atributos is jsonb contato.atributos passthrough | evidence: apps/api/src/controladores/catalogo.ts:67"
/v1/conversas/:id/mensagens,GET,mapped,id;criada_em;direcao;autor_tipo;autor_id;tipo;conteudo;estado_entrega;erro_codigo;erro_texto;id_provedor;entregue_em;lida_em;dentro_da_janela;categoria_cobranca,rename-with-db-key,D-45,"D-45 owner decision: renamed (was keep, API-key endpoint; no real customers, D-43). API-key endpoint (mensagens:ler); comoMensagem, controladores/conversas.ts:164-215,447-465 | evidence: apps/api/src/controladores/conversas.ts:164"
