id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
api-comment-df605b88,api,apps/api/src/app.modulo.ts,44,56,jsdoc,14,"/**
 * Módulo raiz.
 *
 * Sem injeção por tipo de construtor de propósito: os controladores chamam funções
 * de domínio direto, como o Desk faz com `servidor/consultas.ts`. Isso dispensa
 * `emitDecoratorMetadata`, que brigaria com o `verbatimModuleSyntax` do tsconfig da
 * base, e deixa toda regra testável sem subir o Nest.
 *
 * Os guardas são registrados como valor pronto pelo mesmo motivo. São DOIS, e cada um
 * cuida do que está marcado: `@Escopos(...)` é chave de API (integração), `@ComSessao()`
 * é cookie de navegador (as telas). Rota sem marca nenhuma é pública de propósito —
 * o webhook da Meta, que se autentica pela assinatura, e `/saude`.
 */",translate,"Root module. Controllers call domain functions directly, as the Desk does with `servidor/consultas.ts`, instead of using constructor type injection. This avoids `emitDecoratorMetadata`, which conflicts with the base tsconfig's `verbatimModuleSyntax`, and lets rules be tested without starting Nest. Guards are registered as ready values for the same reason. The two guards cover distinct markers: `@Escopos(...)` requires an API key for integrations, while `@ComSessao()` requires a browser session. An unmarked route is deliberately public: the Meta webhook authenticates by signature, and `/saude` is public.",security,apps/api/src/app.modulo.ts:44-56; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-a4716516,api,apps/api/src/autenticacao.ts,115,122,jsdoc,9,"/**
 * O fluxo que a ROTA nomeia, quando nomeia um: o parâmetro `:fluxoId`, ou o
 * `:id` (ou outro nome) logo depois de `/fluxos/` — `/v1/gestao/fluxos/:id/...`.
 *
 * Lê o PADRÃO da rota (`req.route.path`), não a URL: é o padrão que diz qual
 * segmento é o fluxo. Ler a URL casaria `/v1/conversas/<uuid>` por acidente se
 * alguém um dia nomeasse uma conversa com o id de um fluxo.
 */",translate,"When a route names a flow, use its `:fluxoId` parameter or `:id` (or another parameter name) immediately after `/fluxos/`, as in `/v1/gestao/fluxos/:id/...`. Inspect the route pattern (`req.route.path`), not the URL: the pattern identifies which segment represents the flow. Looking at the URL could accidentally match `/v1/conversas/<uuid>` if a conversation ID ever equaled a flow ID.",security,apps/api/src/autenticacao.ts:123-128; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-91c56642,api,apps/api/src/autenticacao.ts,12,21,jsdoc,10,"/**
 * Autenticação por `chave_api`, no formato recomendado em `apis.md` §5.2:
 * `Authorization: Bearer <token>`, token **opaco** (não JWT auto-contido) para poder
 * ser revogado na hora, e `tenant_id` resolvido no servidor — nunca vindo do cliente,
 * nem em payload, nem em header.
 *
 * O token é `pipe_<prefixo>_<segredo>`. O banco guarda o `prefixo` em claro (é o que
 * a tela mostra para o cliente reconhecer a chave) e o `sha256` do segredo. Achar a
 * chave pelo prefixo é a única consulta que roda antes de haver tenant em vigor.
 */",translate,"API key authentication through `chave_api` follows `apis.md` §5.2: `Authorization: Bearer <token>`. The token is opaque rather than a self-contained JWT so it can be revoked immediately. Resolve `tenant_id` on the server; never accept it from a client payload or header. Tokens have the form `pipe_<prefixo>_<segredo>`. The database stores `prefixo` in clear text so the client can recognize the key, and stores the secret's `sha256` hash. Looking up the key by prefix is the only query performed before a tenant is established.",security,apps/api/src/autenticacao.ts:213-233; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-9da8566b,api,apps/api/src/autenticacao.ts,131,147,jsdoc,21,"/**
 * A cerca da chave de fluxo. Chave de conta (`fluxoId` nulo) passa sempre —
 * é o tenant inteiro, como sempre foi.
 *
 * Chave de fluxo:
 * - rota POR FLUXO (`/…/fluxos/:id/…`): só o fluxo dela; outro fluxo é 403,
 *   e o 403 diz o porquê — não é 404, porque o fluxo existe e a chave é válida,
 *   o que falta é alcance.
 * - rota que NÃO é por fluxo (`/v1/conversas`, `/v1/contatos`, …): RECUSADA.
 *   Decisão Pipe: entre ""recusar"" e ""limitar ao que pertence ao fluxo"", vale a
 *   mais restritiva. Conversa não tem `fluxo_id` — pertence a um fluxo só por
 *   tabela (inbox → canal = `fluxo.canal_id`), e filtrar por essa tabela em
 *   cada rota de conversa/contato/anexo/etiqueta seria uma cerca de dados
 *   espalhada em oito lugares, fácil de esquecer na nona. Recusar é uma
 *   linha, aqui, e nenhuma rota de hoje aceita chave E é por fluxo — quando
 *   uma for aberta a chave, a regra de cima já vale sem mexer em nada.
 */",translate,"Account keys (`fluxoId` is null) cover the whole tenant. A flow key may access only its own flow on a flow route (`/…/fluxos/:id/…`); another flow returns 403 because the key and flow exist but the key lacks reach. Reject a flow key on routes without a flow (`/v1/conversas`, `/v1/contatos`, etc.). Pipe chose rejection over filtering related records: a conversation has no `fluxo_id` and belongs to a flow only through the inbox and channel (`fluxo.canal_id`). Repeating that data boundary across conversation, contact, attachment and tag routes would be easy to miss in a new route. The single guard enforces it. No current route both accepts a key and names a flow; when one does, this rule already applies.",security,apps/api/src/autenticacao.ts:148-169; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-36bf4f49,api,apps/api/src/autenticacao.ts,179,179,line,1,// Rota sem `@Escopos` é pública de propósito: o webhook da Meta se autentica,translate,An unmarked `@Escopos` route is deliberately public: the Meta webhook authenticates,security,apps/api/src/autenticacao.ts:175-181; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-8a75d7f3,api,apps/api/src/autenticacao.ts,180,180,line,2,"// pela assinatura `X-Hub-Signature-256`, não por chave nossa.",translate,"with `X-Hub-Signature-256`, not with our API key.",security,apps/api/src/autenticacao.ts:179-181; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-28495067,api,apps/api/src/autenticacao.ts,185,185,line,2,// Rota que aceita as duas credenciais e NÃO recebeu Bearer: quem confere é o,translate,"On a route that accepts either credential, if no Bearer token was supplied,",security,apps/api/src/autenticacao.ts:185-191; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-8f9a65e8,api,apps/api/src/autenticacao.ts,186,186,line,0,// guarda da sessão. Ver `CHAVE_QUALQUER_CREDENCIAL` em `sessao.ts`.,translate,the session guard checks the request. See `CHAVE_QUALQUER_CREDENCIAL` in `sessao.ts`.,security,apps/api/src/autenticacao.ts:185-191; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-abe23828,api,apps/api/src/autenticacao.ts,206,206,line,2,"// Depois do escopo: ""o que"" a chave pode fazer é conferido antes de ""onde"".",translate,"Check the key's scope before checking its flow: first what it may do, then where.",security,apps/api/src/autenticacao.ts:196-208; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-535facd3,api,apps/api/src/autenticacao.ts,207,207,line,2,"// O guarda roda já dentro da rota casada, então `params` e `route.path` existem.",translate,"The guard runs after route matching, so `params` and `route.path` are available.",security,apps/api/src/autenticacao.ts:174-208; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-e1ed87ab,api,apps/api/src/autenticacao.ts,235,235,line,3,"// Marcar o uso não pode derrubar a requisição: é dado de auditoria, não de rota.",translate,"Failure to record last use must not fail the request: this is audit data, not route data.",security,apps/api/src/autenticacao.ts:235-238; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-7a5f31fb,api,apps/api/src/autenticacao.ts,252,252,jsdoc,2,"/** Comparação sem vazar, pelo tempo de resposta, quantos caracteres bateram. */",translate,Compare without revealing through response timing how many characters matched.,security,apps/api/src/autenticacao.ts:252-257; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-3d38e3d7,api,apps/api/src/autenticacao.ts,41,45,jsdoc,2,"/**
   * O fluxo dono da chave (`chave_api.fluxo_id`, migração 0032), ou `null` na
   * chave de CONTA. É a cerca que `conferirFluxoDaChave` aplica: chave de fluxo
   * só age no fluxo dela.
   */",translate,"The flow owning this key (`chave_api.fluxo_id`, migration 0032), or `null` for an account key. `conferirFluxoDaChave` enforces that a flow key acts only on its own flow.",security,apps/api/src/autenticacao.ts:37-46; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-70cf3d05,api,apps/api/src/autenticacao.ts,49,49,jsdoc,1,/** A requisição autenticada carrega o contexto; o controlador nunca lê header. */,translate,The authenticated request carries the context; controllers never read the header.,security,apps/api/src/autenticacao.ts:49-50; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-98c6c379,api,apps/api/src/autenticacao.ts,54,54,jsdoc,3,"/** Marca o escopo exigido por rota. Sem a marca, a rota é pública (webhook). */",translate,"Marks the scope required by a route. Without the marker, the route is public (for example, the webhook).",security,apps/api/src/autenticacao.ts:54-55; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-e538f546,api,apps/api/src/autenticacao.ts,57,64,jsdoc,4,"/**
 * A rota serve aos dois clientes: integração por chave de API **ou** gente logada no
 * navegador. Quem se apresentou manda — ver `CHAVE_QUALQUER_CREDENCIAL` em `sessao.ts`.
 *
 * Existe porque `POST /v1/conversas/:id/mensagens` é a MESMA operação nos dois casos, e
 * duplicá-la numa rota `/v1/desk/...` seria duas implementações da regra de janela de
 * 24 horas, de outbox e de evento — ou seja, duas para divergir.
 */",translate,"This route serves both API key integrations and people signed in through a browser. The presented credential takes precedence; see `CHAVE_QUALQUER_CREDENCIAL` in `sessao.ts`. `POST /v1/conversas/:id/mensagens` is the same operation for both. Duplicating it under `/v1/desk/...` would duplicate the 24-hour window, outbox and event rules and let the implementations diverge.",security,apps/api/src/autenticacao.ts:57-70; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-f8369b3e,api,apps/api/src/autenticacao.ts,72,78,jsdoc,5,"/**
 * Quem está pedindo: uma integração ou uma pessoa.
 *
 * O `tenantId` sai da credencial nos dois casos, nunca do corpo nem da URL. O
 * `usuarioId` só existe quando é gente — chave de API não tem dono, e mensagem
 * enviada por integração é do sistema.
 */",translate,"The caller may be an integration or a person. In both cases `tenantId` comes from the credential, never from the body or URL. Only a person has `usuarioId`: API keys have no owner, and integration messages are attributed to the system.",security,apps/api/src/autenticacao.ts:72-97; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-372a8000,api,apps/api/src/autenticacao.ts,82,82,jsdoc,2,/** `true` quando veio de navegador. É o que liga as regras de atendente. */,translate,`true` for a browser session; enables the attendant rules.,security,apps/api/src/autenticacao.ts:79-83; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
api-comment-854c1ad0,api,apps/api/src/banco.ts,100,111,jsdoc,11,"/**
 * Resolve o canal a partir do PAYLOAD, para a rota guarda-chuva.
 *
 * Os eventos de template e de conta da Meta não aceitam URL por cliente e chegam
 * todos no mesmo endereço. Aqui o tenant não pode vir do caminho, então vem do
 * `phone_number_id` ou, na falta dele, do WABA — nessa ordem, porque o número é
 * único e o WABA pode ter vários.
 *
 * Devolve `null` quando não casa, e quem chama DESCARTA. Evento sem dono é de
 * outro aplicativo ou de canal removido; processar no melhor palpite é como se
 * entrega o dado de um cliente a outro.
 */",update,"Resolve the channel from the payload for the umbrella route. Meta template and account events all arrive at one address because they do not support a customer-specific URL. Resolve the tenant by `phone_number_id` first; if it does not identify a channel, use the WABA. A number identifies one channel, while a WABA may have several. Return `null` when neither identifies a channel, and let the caller discard the event. An unowned event may belong to another app or a removed channel; guessing could expose one customer's data to another.",integration,apps/api/src/banco.ts:112-139; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
