id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
ponte-comment-51dec0db,ponte,apps/ponte/src/acoes.ts,104,112,jsdoc,14,"/**
 * Encerrar exige etiqueta — conversa fechada sem motivo é relatório que não explica
 * nada depois, e a regra já valia na tela de origem.
 *
 * A tela manda os nomes das etiquetas escolhidas. Se vier vazia, usamos a primeira
 * do cliente; se o cliente ainda não tem nenhuma, criamos ""Encerrado pelo atendente""
 * — nascer sem etiqueta é comum em empresa nova, e travar o encerramento por isso
 * seria pior do que registrar um motivo genérico.
 */",translate,"Closing requires a tag: a closed conversation without a reason makes later reports meaningless, and the source screen already enforced this. The screen sends selected tag names. If none are supplied, use the client's first tag; if the client has none, create ""Encerrado pelo atendente"". New companies commonly have no tags, and blocking closure would be worse than recording a generic reason.",architecture,apps/ponte/src/acoes.ts:104; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-5198f7f7,ponte,apps/ponte/src/acoes.ts,20,20,jsdoc,1,"/** O ator de uma ação vinda da tela: o atendente logado, agindo por si. */",translate,The actor for a screen action is the signed-in agent acting on their own behalf.,security,apps/ponte/src/acoes.ts:20; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-e87c0ed0,ponte,apps/ponte/src/acoes.ts,26,27,block,3,"/* Assumir NÃO é transferir para si: transferência encerra a conversa e abre outra
     (é o modelo da plataforma de origem). Ver `dominio/assumir.ts`. */",translate,"Claiming is NOT transferring to oneself: a transfer closes this conversation and opens another, following the source platform's model. See `dominio/assumir.ts`.",architecture,apps/ponte/src/acoes.ts:26; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-49492986,ponte,apps/ponte/src/acoes.ts,31,31,jsdoc,2,/** Pega o próximo da fila: o mais antigo entre as filas de quem está pedindo. */,translate,Claim the oldest conversation among the requester's queues.,other,apps/ponte/src/acoes.ts:31,codex3,reviewed
ponte-comment-d74d5e1d,ponte,apps/ponte/src/acoes.ts,50,54,jsdoc,10,"/**
 * A tela manda a mensagem para uma IDENTIDADE (`5531988887777@wa.gw.msging.net`),
 * não para uma conversa — é assim que o protocolo dela funciona. Aqui a identidade
 * vira conversa: a aberta daquele telefone.
 */",translate,"The screen sends a message to an IDENTITY (`5531988887777@wa.gw.msging.net`), not a conversation; that is how its protocol works. Resolve this identity to the open conversation for that phone number.",integration,apps/ponte/src/acoes.ts:50; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-a72fa5e0,ponte,apps/ponte/src/acoes.ts,8,18,jsdoc,13,"/**
 * O que o atendente FAZ na tela: assumir, responder, transferir e encerrar.
 *
 * Nada aqui reimplementa regra. Cada ação chama a função de domínio que a `apps/api`
 * já usa, com a mesma máquina de estados, os mesmos eventos e os mesmos limites. A
 * ponte só traduz o vocabulário da tela para o do Pipe.
 *
 * **Assumir é transferir para si.** Parece atalho, mas é o contrário: assumir tem as
 * mesmas regras de transferência (estado válido, fila, capacidade), e escrever um
 * caminho próprio seria duplicar a máquina de estados só para economizar uma linha.
 */",translate,"Screen actions include claiming, replying, transferring, and closing. Each calls the domain function already used by `apps/api`, with the same state machine, events, and limits. The bridge only translates screen vocabulary into Pipe's. Claiming is a transfer to oneself in terms of rules: valid state, queue, and capacity. A separate path would duplicate the state machine just to save one line.",architecture,apps/ponte/src/acoes.ts:8; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-74879ec3,ponte,apps/ponte/src/acoes.ts,84,85,block,4,"/* `dentroDaJanela` sobe junto porque fora da janela de 24h a Meta só entrega
     template: a tela precisa saber disso para avisar quem escreveu. */",translate,"Return `dentroDaJanela` too: outside the 24-hour window Meta delivers only templates, and the screen must warn the sender.",integration,apps/ponte/src/acoes.ts:84; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-91b8497a,ponte,apps/ponte/src/banco.ts,30,34,jsdoc,5,"/**
 * Roda o trabalho com o tenant fixado. Dentro do callback as consultas vão **em
 * série**: `Promise.all` aqui derruba o `set_config` da transação e a consulta passa
 * a rodar sem tenant. É a mesma armadilha registrada na `apps/api`.
 */",translate,"Run work with the tenant fixed. Queries inside the callback must run in series: `Promise.all` disrupts the transaction's `set_config`, allowing a query to run without a tenant. This is the same trap documented in `apps/api`.",security,apps/ponte/src/banco.ts:30; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-c6ffaf7d,ponte,apps/ponte/src/banco.ts,4,11,jsdoc,9,"/**
 * Duas conexões, dois papéis — a mesma divisão da `apps/api`.
 *
 * Tudo que é dado de negócio passa por `noTenant`, com `pipe.tenant_id` fixado e a
 * RLS valendo. O papel dono existe para UMA coisa: resolver a sessão do cookie, que
 * é justamente o que precisa acontecer **antes** de haver tenant em vigor. Nenhuma
 * outra consulta usa o papel dono.
 */",translate,"Two connections and roles, as in `apps/api`. All business data goes through `noTenant`, with `pipe.tenant_id` fixed and RLS active. The owner role has one purpose: resolving the cookie session before a tenant is established. No other query uses it.",security,apps/ponte/src/banco.ts:4; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-749b8c4a,ponte,apps/ponte/src/builder.ts,11,47,jsdoc,50,"/**
 * O Builder salvando e publicando de verdade.
 *
 * A tela do cliente é a cópia da Blip, e o Builder dela guarda o desenho em dois
 * baldes: o mapa de estados (`builder_working_flow`) e as ações globais
 * (`builder_working_global_actions`). Publicar é gravar o fluxo compilado dentro da
 * ""Application"". Aqui esses baldes passam a ser o banco do Pipe — pelo MESMO
 * domínio que a tela do Builder da Gestão usa (`apps/api/src/dominio/gestao/
 * builder-do-fluxo.ts`): um rascunho por fluxo, gravado por cima a cada salvar;
 * publicar promove o rascunho e arquiva a versão anterior.
 *
 * ## Qual fluxo
 *
 * A cópia abre o Builder ""do bot"", e o bot é a conexão: nenhum comando LIME dela
 * carrega o id do fluxo — os buckets são `blip_portal:builder_working_flow`, sem
 * qualificador, e a ponte roda para UM tenant (`PIPE_PONTE_TENANT_ID`). Então a
 * ponte também edita UM fluxo, escolhido assim:
 *
 * 1. `PIPE_PONTE_FLUXO_ID`, quando definido — o id de um fluxo (tipo `fluxo`,
 *    não arquivado) do tenant, para apontar a cópia para o contato que se quer
 *    editar;
 * 2. senão, o fluxo chamado `Fluxo do Builder`, criado na primeira vez — o
 *    comportamento de antes, para o laboratório continuar funcionando sem
 *    configuração nova.
 *
 * Trocar isso por fluxo-por-sessão exigiria o laboratório mandar o id do bot em
 * cada comando (a cópia não manda), e fica para quando a tela for nossa — que é a
 * tela da Gestão, já ligada nas rotas por fluxo.
 *
 * ## Permissão
 *
 * O domínio confere `automacao.fluxo.editar` para ler e salvar e
 * `automacao.fluxo.publicar` para publicar, como faz para a Gestão. A pessoa que
 * a cópia representa (`PIPE_PONTE_EMAIL`) precisa tê-las — o administrador do
 * tenant tem as duas. Sem elas a resposta é a falha LIME com a frase do domínio,
 * e não um desenho que parece salvo e não está.
 */",translate,"The Builder saves and publishes a real flow. The client screen is a Blip copy; its Builder keeps the design in two buckets, state map (`builder_working_flow`) and global actions (`builder_working_global_actions`). Publishing stores the compiled flow in the ""Application"". Here those buckets become Pipe database records through the SAME domain used by the Management Builder (`apps/api/src/dominio/gestao/builder-do-fluxo.ts`): one draft per flow, overwritten on each save; publishing promotes the draft and archives the previous version. The copy opens the Builder for a bot, and the bot is the connection: its LIME commands contain no flow ID. Buckets such as `blip_portal:builder_working_flow` have no qualifier, and the bridge runs for ONE tenant (`PIPE_PONTE_TENANT_ID`). Therefore it edits ONE flow. Use `PIPE_PONTE_FLUXO_ID` when it points to a non-archived flow of type `fluxo` in this tenant; otherwise use `Fluxo do Builder`, created on first use. A per-session flow would require the lab copy to send a bot ID on every command; it does not. The Management screen already uses per-flow routes. The domain checks `automacao.fluxo.editar` for reading and saving and `automacao.fluxo.publicar` for publishing, as for Management. The person represented by the copy (`PIPE_PONTE_EMAIL`) needs those permissions; a tenant admin has both. Without permission return a LIME failure with the domain message, not a design that only appears saved.",meta-blip,apps/ponte/src/builder.ts:11; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
ponte-comment-51731867,ponte,apps/ponte/src/builder.ts,115,115,jsdoc,2,"/** O fluxo foi gravado, mas o motor recusaria rodar — e por isso não publicou. */",translate,"The flow was saved but the engine would refuse to run it, so it was not published.",architecture,apps/ponte/src/builder.ts:115; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
