id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
gestao-vite-comment-be5b21f9,gestao-vite,apps/gestao-vite/src/App.tsx,108,112,block,2,"/* Cada canal tem a própria página DENTRO do bot, como
        `application/detail/{bot}/channels/{canal}` da origem
        (`referencias-blip/fichas/FICHA-conectar-canal-no-bot.md` §1). As
        abas do WhatsApp moravam em `atendimento/canais/whatsapp/:canalId`, no
        módulo errado; o canal agora é o do bot, sem id na URL. */",translate,"Each channel has its own page within the bot, matching reference `application/detail/{bot}/channels/{canal}` (`referencias-blip/fichas/FICHA-conectar-canal-no-bot.md` §1). WhatsApp tabs formerly lived in `atendimento/canais/whatsapp/:canalId`, the wrong module; the channel now belongs to the bot without an ID in the URL.",meta-blip,apps/gestao-vite/src/App.tsx:108-112,,proposed
gestao-vite-comment-c8cc6865,gestao-vite,apps/gestao-vite/src/App.tsx,123,128,block,4,"/* O módulo Atendimento — a `attendance/desk/*` da origem, dentro do
        MESMO contato: barra do portal + barra do contato (item ""Atendimento""
        aceso) + a `desk-sidebar` própria, montada em `operacao/casca.tsx`.
        Estas telas viviam soltas em `/monitoramento`, `/historico` etc. e
        desenhavam um segundo portal — ver o mapa completo no relatório da
        tarefa que fez a mudança. */",translate,"The Attendance module mirrors source `attendance/desk/*` inside the same contact: Portal bar, contact bar with Attendance selected, and its own `desk-sidebar` in `operacao/casca.tsx`. These screens formerly lived at separate paths such as `/monitoramento` and `/historico` with a second Portal shell; the original change report maps the move.",architecture,apps/gestao-vite/src/App.tsx:123-128,,proposed
gestao-vite-comment-1f6e9c43,gestao-vite,apps/gestao-vite/src/App.tsx,139,140,block,6,"/* `/team/create` e `/team/edit` da origem — sem `:id`, a seleção viaja
          em `?atendentes=` porque a edição é em lote (§a.1/§a.4 da ficha). */",translate,Mirror source `/team/create` and `/team/edit` without `:id`; batch-edit selection travels in `?atendentes=` (reference sheet §a.1/§a.4).,meta-blip,apps/gestao-vite/src/App.tsx:139-140,,proposed
gestao-vite-comment-60de6c93,gestao-vite,apps/gestao-vite/src/App.tsx,146,146,block,1,"/* `/queue-management/edit/:id` da origem — página própria, não modal. */",translate,"Mirror source `/queue-management/edit/:id` as a separate page, not a modal.",meta-blip,apps/gestao-vite/src/App.tsx:146-146,,proposed
gestao-vite-comment-21391a71,gestao-vite,apps/gestao-vite/src/App.tsx,158,159,block,2,"/* O link antigo das abas do WhatsApp (`atendimento/canais/whatsapp/:canalId`)
          cai na página do canal do bot — o canal agora é o do bot, não o da URL. */",translate,The old WhatsApp tab link `atendimento/canais/whatsapp/:canalId` redirects to the bot's channel page; channel identity now comes from the bot rather than the URL.,architecture,apps/gestao-vite/src/App.tsx:158-159,,proposed
gestao-vite-comment-302eb210,gestao-vite,apps/gestao-vite/src/App.tsx,160,221,block,12,"/*"" element={<ParaOCanalDoBot />} />
    </Route>

    <Route path=""contatos"" element={<CascaDeContatos />}>
      <Route index element={<ListaContatosDoBot />} />
      <Route path="":contatoId"" element={<DetalheContatoDoBot />} />
    </Route>

    <Route path=""integracoes"" element={<CascaDeIntegracoes />}>
      <Route index element={<PaginaIntegracoes />} />
      <Route path=""webhook"" element={<PaginaWebhook />} />
    </Route>

    <Route path=""log"" element={<PaginaLog />} />

    <Route path=""growth"" element={<CascaDeGrowth />}>
      <Route index element={<Navigate to=""mensagens-ativas"" replace />} />
      <Route path=""mensagens-ativas"" element={<PaginaMensagensAtivas />} />
      <Route path=""clicktracker"" element={<PaginaClickTracker />} />
      <Route path=""anuncios"" element={<PaginaAnuncios />} />
      <Route path=""pagamentos"" element={<PaginaRelatorioDePagamentos />} />
      <Route path=""links-rastreados"" element={<PaginaLinksRastreados />} />
    </Route>

    <Route path=""configuracoes"" element={<CascaDeConfiguracoes />}>
      <Route index element={<Navigate to=""basicas"" replace />} />
      <Route path=""basicas"" element={<PaginaDeConfiguracoesBasicas />} />
      <Route path=""boasvindas"" element={<PaginaDeBoasVindas />} />
      <Route path=""menu-persistente"" element={<PaginaDeMenuPersistente />} />
      <Route path=""api"" element={<PaginaApiDoBot />} />
      <Route path=""keys"" element={<PaginaChavesDoBot />} />
    </Route>

    <Route path=""equipe"" element={<PaginaDeEquipe />} />
    <Route path=""equipe/editar/:usuarioId"" element={<PaginaDeEditarMembro />} />

    <Route path=""conteudos"" element={<PaginaConteudos />} />

    <Route path=""analise"" element={<CascaDaAnalise />}>
      <Route index element={<Navigate to={ABA_PADRAO} replace />} />
      <Route path=""dashboard"" element={<PaginaDoDashboard />} />
      <Route path=""visao-geral"" element={<PaginaDaVisaoGeral />} />
      <Route path=""jornada"" element={<PaginaDaJornada />} />
      <Route path=""relatorios"" element={<PaginaDosRelatorios />} />
      <Route path=""mensagens-ativas"" element={<AnaliseMensagensAtivas />} />
      <Route path=""gerenciador-de-relatorios"" element={<PaginaDoGerenciador />} />
      <Route path=""dicionario-de-dados"" element={<PaginaDoDicionario />} />
    </Route>
  </>
);

/**
 * As rotas que viviam soltas na raiz, sem contato, hoje redirecionadas para o
 * portal — ver a nota onde são usadas.
 *
 * A maior parte é o Atendimento de antes de morar no contato. `/builder` e
 * `/growth` entraram nesta entrega: Builder e Growth eram os dois módulos que
 * `estrutura-gestao.tsx` desenhava fora de qualquer contato, e os dois se
 * mudaram para dentro dele — Builder para `/fluxo/:id/builder`, Growth para
 * `/fluxo/:id/growth/*` e `/roteador/:id/growth/*` (que já existiam; `/growth`
 * solto, em `paginas/growth-portal.tsx`, era duplicata e foi removido).
 */",update,"Former root-level routes without a contact now redirect to the Portal. Most are Attendance routes from before it moved under a contact. Builder `/builder` and Growth `/growth` once used `estrutura-gestao.tsx` outside any contact; Builder moved to `/fluxo/:id/builder`, and Growth moved to `/fluxo/:id/growth/*` and `/roteador/:id/growth/*`. The standalone `/growth` in `paginas/growth-portal.tsx` was a duplicate and was removed.",meta-blip,apps/gestao-vite/src/App.tsx:211-221; inventory row begins inside JSX route string at line 160,,proposed
gestao-vite-comment-8613f782,gestao-vite,apps/gestao-vite/src/App.tsx,246,253,jsdoc,5,"/**
 * As rotas da Gestão — as mesmas URLs do aplicativo em Next, para link salvo
 * e histórico continuarem valendo. A árvore segue a da origem: o contato
 * (`/fluxo/:id` para chatbot, `/roteador/:id` para roteador) é o estado-pai,
 * e cada módulo pendura nele.
 *
 * Só `/entrar` é pública. O resto fica atrás de `ExigirSessao`.
 */",translate,"Gestão routes retain the same URLs as the former Next app so bookmarks and history keep working. The tree uses contact `/fluxo/:id` for chatbot or `/roteador/:id` for router as parent state, with modules below. Only `/entrar` is public; `ExigirSessao` guards the rest.",architecture,apps/gestao-vite/src/App.tsx:246-253,,proposed
gestao-vite-comment-9674bff4,gestao-vite,apps/gestao-vite/src/App.tsx,276,282,block,6,"/* Implantação — onboarding de CONTA, sem contato nenhum para
            pendurar. Cromo próprio (`pt-app` + `BarraDoPortal`, como
            ""Novidades"" e o Painel do contrato), montado dentro da própria
            `page.tsx`. Builder e Growth, os outros dois módulos que
            `EstruturaGestao` desenhava fora do contato, se mudaram para
            dentro dele (abaixo); sem os dois, aquele casco de duas barras
            ficou sem rota nenhuma e saiu. */",translate,"Implantação is account onboarding, with no contact to nest beneath. It renders its own `pt-app` and `BarraDoPortal` chrome in `page.tsx`, like Novidades and the contract panel. Builder and Growth moved inside the contact; after that, `EstruturaGestao` had no route requiring its two-bar shell and was removed.",architecture,apps/gestao-vite/src/App.tsx:276-282,,proposed
gestao-vite-comment-f203c941,gestao-vite,apps/gestao-vite/src/App.tsx,285,290,block,4,"/* As rotas de antes de morarem no contato (Atendimento em
            `/{tipo}/:id/atendimento/*`, Builder em `/fluxo/:id/builder`,
            Growth em `/{tipo}/:id/growth/*`, todas abaixo). Nenhuma carrega um
            id de contato — não há como adivinhar de qual fluxo ou roteador era
            o link salvo — então a única saída honesta é o portal, de onde a
            pessoa escolhe o contato e chega lá de novo. */",translate,"Former standalone Attendance `/{tipo}/:id/atendimento/*`, Builder `/fluxo/:id/builder`, and Growth `/{tipo}/:id/growth/*` links lack a contact ID, so the app cannot infer which flow or router a bookmark meant. Redirect them to the Portal for the person to select a contact again.",architecture,apps/gestao-vite/src/App.tsx:285-290,,proposed
gestao-vite-comment-81d4508e,gestao-vite,apps/gestao-vite/src/App.tsx,297,299,block,4,"/* Builder é escondido do menu do roteador (`ESCONDIDOS_NO_ROTEADOR`
              em `fluxo/itens.ts`, a mesma regra da origem) — por isso a rota
              só existe aqui, e não na árvore de `/roteador/:id` logo abaixo. */",translate,"Builder is hidden from the router menu by `ESCONDIDOS_NO_ROTEADOR` in `fluxo/itens.ts`, matching the reference, so this route exists only here and not below `/roteador/:id`.",meta-blip,apps/gestao-vite/src/App.tsx:297-299,,proposed
