id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
packages-db-comment-f514936f,packages-db,packages/db/src/auditoria.ts,113,119,jsdoc,10,"/**
 * O que mudou entre dois estados, só com os campos diferentes.
 *
 * Guardar o objeto inteiro dos dois lados incha a tabela e esconde a mudança:
 * quem lê o log quer saber que a capacidade foi de 5 para 8, não reler as
 * quinze colunas que continuaram iguais.
 */",translate,"Difference between two states, containing only changed fields. Storing both full objects would bloat the table and hide changes: audit readers need to see capacity move from 5 to 8, not reread fifteen unchanged columns.",architecture,packages/db/src/auditoria.ts:113-119; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-b99f511a,packages-db,packages/db/src/auditoria.ts,139,139,line,3,// `null` e `undefined` são a mesma ausência para efeito de log: o driver,translate,"For audit logging, `null` and `undefined` represent the same absence: the driver returns",architecture,packages/db/src/auditoria.ts:139-139; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-f5bee3a4,packages-db,packages/db/src/auditoria.ts,140,140,line,2,"// devolve `null` e o formulário manda `undefined`, e isso não é mudança.",translate,"`null` while the form sends `undefined`, which is not a change.",architecture,packages/db/src/auditoria.ts:140-140; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-748cec0c,packages-db,packages/db/src/auditoria.ts,22,22,jsdoc,1,"/** O que o ator é. Pessoa, chave de API, ou o próprio sistema. */",translate,"Actor type: a person, an API key, or the system itself.",other,packages/db/src/auditoria.ts:22-22,codex,reviewed
packages-db-comment-829906c2,packages-db,packages/db/src/auditoria.ts,26,31,jsdoc,2,"/**
 * As ações registradas.
 *
 * Lista fechada de propósito: string livre vira `update`, `atualizar`,
 * `atualizou` e `edit` na mesma tabela, e aí o log não se consulta mais.
 */",translate,"Recorded actions use a closed list deliberately. Free text would put `update`, `atualizar`, `atualizou`, and `edit` in the same table and make the audit log unqueryable.",architecture,packages/db/src/auditoria.ts:26-31; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-2c6fc419,packages-db,packages/db/src/auditoria.ts,37,37,jsdoc,2,/** Nulo para `sistema`: o cron não tem id. */,translate,Null for `sistema`: cron has no actor ID.,other,packages/db/src/auditoria.ts:37-37,codex,reviewed
packages-db-comment-dc6e7c55,packages-db,packages/db/src/auditoria.ts,4,20,jsdoc,23,"/**
 * O registro de quem mudou o quê.
 *
 * A tabela `log_auditoria` existe desde a fundação e **ninguém escrevia nela**.
 * A consequência apareceu na auditoria de usabilidade: nenhuma tela de cadastro
 * do Pipe tem editar nem excluir — só criar. O motivo estava escrito nas specs
 * como ""aguardando log de auditoria"", e o log nunca veio.
 *
 * Isso inverteu a ordem das coisas: a falta do registro virou desculpa para o
 * produto não deixar corrigir um nome digitado errado. Este arquivo paga a
 * dívida para que a edição possa existir.
 *
 * **A regra que faz o registro valer alguma coisa**: grava-se o ANTES e o
 * DEPOIS, na mesma transação da mudança. Log em transação separada some quando
 * a mudança falha, ou sobra quando ela é desfeita — e nos dois casos ele passa
 * a mentir. Log que mente é pior que log nenhum, porque alguém confia nele.
 */",translate,"Records who changed what. `log_auditoria` existed since the foundation but received no writes. A usability audit found Pipe registration screens could create records but not edit or delete them because specs said they were waiting for an audit log. That absence prevented even correcting a mistyped name. Record before and after values in the same transaction as the change: a separate log transaction can disappear when the change fails or remain when it rolls back. Either outcome makes the audit log lie, which is worse than no log because people trust it.",architecture,packages/db/src/auditoria.ts:4-20; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-e0037783,packages-db,packages/db/src/auditoria.ts,54,60,jsdoc,5,"/**
 * Campos que NUNCA entram no log, mesmo que venham no objeto.
 *
 * O log é lido por gente do suporte e exportado em auditoria de contrato.
 * Gravar segredo ali seria desfazer, num lugar mais visível, a cifra que
 * `segredo.ts` aplica no banco.
 */",translate,"Fields never written to audit logs, even if present in the input. Support reads and contract audits export this log; logging secrets here would undo the database encryption applied by `segredo.ts` in a more visible place.",security,packages/db/src/auditoria.ts:54-60; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-c048d0b2,packages-db,packages/db/src/auditoria.ts,86,94,jsdoc,6,"/**
 * Registra o evento **na mesma transação** da mudança.
 *
 * Recebe a `tx`, e não o banco, por isso: se a mudança for desfeita, o registro
 * dela é desfeito junto. É a única forma de o log e o dado nunca discordarem.
 *
 * O `tenant_id` sai da sessão da transação — não é parâmetro. Aceitar tenant de
 * quem chama seria deixar registrar evento no nome do vizinho.
 */",translate,"Write the audit event in the same transaction as the change. The function accepts `tx`, not a database handle, so rollback removes both the change and its record. `tenant_id` comes from the transaction session, not a caller parameter; accepting a caller-supplied tenant would permit logging events under another tenant.",security,packages/db/src/auditoria.ts:86-94; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-a48ef0fb,packages-db,packages/db/src/cliente.ts,11,11,jsdoc,1,"/** Liga o log de SQL. Útil no teste de RLS, onde o interesse é ver a transação. */",translate,"Enable SQL logging, useful for RLS tests that need to inspect the transaction.",security,packages/db/src/cliente.ts:11-11; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-7e11fb1f,packages-db,packages/db/src/cliente.ts,15,19,jsdoc,11,"/**
 * Cria o pool e o cliente Drizzle. A `api` usa a URL do papel da aplicação, que **não**
 * tem `bypassrls`; migration e seed usam a URL do papel dono. Confundir as duas é o
 * jeito mais rápido de achar que a RLS está ligada quando ela está sendo ignorada.
 */",translate,Create the pool and Drizzle client. The `api` uses the application-role URL without `bypassrls`; migrations and seeds use the owner-role URL. Mixing them can make RLS appear active while queries actually bypass it.,security,packages/db/src/cliente.ts:15-19; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-4c8734e8,packages-db,packages/db/src/particoes.ts,30,33,jsdoc,2,"/**
 * Garante as partições do mês corrente e dos `mesesAFrente` seguintes. Idempotente:
 * chamar duas vezes no mesmo dia não faz nada na segunda.
 */",translate,Ensure partitions for the current month and the next `mesesAFrente` months. Idempotent: a second call on the same day changes nothing.,architecture,packages/db/src/particoes.ts:30-33; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-591e18d0,packages-db,packages/db/src/particoes.ts,4,11,jsdoc,14,"/**
 * `mensagem` e `evento_atendimento` crescem sem limite e são sempre consultadas por
 * período. As duas são particionadas por mês; esta é a rotina que cria a partição do
 * mês seguinte antes que ela seja necessária — partição que falta vira erro de insert
 * na hora errada, que é de madrugada.
 *
 * Roda com o papel dono das tabelas (o mesmo das migrations), porque cria tabela.
 */",translate,"`mensagem` and `evento_atendimento` grow without bound and are queried by period, so both are partitioned monthly. This routine creates the next partition before it is needed; missing partitions cause inserts to fail at the worst time. It runs as table owner, like migrations, because it creates tables.",architecture,packages/db/src/particoes.ts:4-11; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-8b7ae677,packages-db,packages/db/src/schema/automacao.ts,103,106,jsdoc,1,"/**
 * As quatro paradas do traço ""Permissão"" dos modais da Equipe — as chaves
 * `team.addUserModal.slider` da origem (`visualize`, `custom`, `edit`, `admin`).
 */",translate,"The four stops on the Team modals' ""Permissão"" scale, taken from `team.addUserModal.slider` in the source (`visualize`, `custom`, `edit`, `admin`).",meta-blip,packages/db/src/schema/automacao.ts:103-106; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-d08800ef,packages-db,packages/db/src/schema/automacao.ts,109,113,jsdoc,7,"/**
 * A equipe DO contato: quem acessa este fluxo e com que permissão. Migration 0035,
 * que explica o porquê (na origem a permissão é do BOT, não do tenant) e o formato
 * do `permissoes` — o `PermissionsList.html` da rota `/team/team/edit`.
 */",translate,"The contact's team: who can access this flow and with which permission. Migration 0035 explains why permission belongs to the BOT rather than the tenant in the source, and records the `permissoes` format from `PermissionsList.html` at `/team/team/edit`.",meta-blip,packages/db/src/schema/automacao.ts:109-113; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-1e149212,packages-db,packages/db/src/schema/automacao.ts,126,126,jsdoc,0,"/** `{ builder: 'escrever', analysis: 'ler', … }` — recurso da origem → rádio. */",translate,"`{ builder: 'escrever', analysis: 'ler', … }`: source resource mapped to a radio choice.",meta-blip,packages/db/src/schema/automacao.ts:126-126; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-0d1d9987,packages-db,packages/db/src/schema/automacao.ts,131,131,jsdoc,2,/** Quem pôs a pessoa aqui; sobrevive a ela (`set null`). */,remove,,other,packages/db/src/schema/automacao.ts:131-131,codex,reviewed
packages-db-comment-fc5a82d2,packages-db,packages/db/src/schema/automacao.ts,142,145,jsdoc,3,"/**
 * Os serviços do roteador — o `master.services` da Blip. Migration 0024, que explica
 * cada coluna e por que não existe túnel no Pipe.
 */",translate,Router services mirror Blip's `master.services`. Migration 0024 explains each column and why Pipe has no tunnel.,meta-blip,packages/db/src/schema/automacao.ts:142-145; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-74bdb969,packages-db,packages/db/src/schema/automacao.ts,157,157,jsdoc,0,/** O nome do serviço: é o `content.address` do `Redirect`. */,translate,Service name from the `Redirect` field `content.address`.,meta-blip,packages/db/src/schema/automacao.ts:157-157; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-1a145c36,packages-db,packages/db/src/schema/automacao.ts,160,160,jsdoc,2,"/** ""Não redirecionar automaticamente para o principal"". */",keep-original,,meta-blip,packages/db/src/schema/automacao.ts:160-160; Literal source UI label.; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-db-comment-70fe2574,packages-db,packages/db/src/schema/automacao.ts,162,162,jsdoc,0,"/** ""Expiração do redirecionamento"", da última mensagem do cliente. */",keep-original,,meta-blip,packages/db/src/schema/automacao.ts:162-162; Literal source UI label.; pre-triage D-40; needs slice-time confirmation,codex,reviewed
