id,scope,kind,old,declared_at,where_persisted,decision,decision_ref,notes
persisted-wire-01,api,ts-prop,desenho,packages/contracts/src/gestao-fluxo.ts:BuilderDoFluxo,jsonb:bloco.conteudo,keep,D-09,"wire key of GET/PUT/POST v1/gestao/fluxos/:id/builder* (01-35 wire-contracts.csv); renders bloco.conteudo jsonb per block, dominio/gestao/builder-do-fluxo.ts:173-260; bootstrapped by 01-35 pending 01-08 Task 3 full jsonb-reach classification"
persisted-wire-02,api,ts-prop,variaveis,apps/api/src/dominio/gestao/comunicacao.ts:ModeloListado,jsonb:templateMensagem.variaveis,keep,D-09,"wire key of GET v1/gestao/comunicacao/modelos, v1/gestao/fluxos/:id/growth, v1/gestao/fluxos/:id/conteudos, POST v1/canais/whatsapp/:id/modelos (01-35 wire-contracts.csv); templateMensagem.variaveis jsonb column"
persisted-wire-03,api,ts-prop,metadata,packages/contracts/src/gestao-fluxo.ts:LogDoFluxo,jsonb:mensagem.dados,keep,D-09,"wire key of GET v1/gestao/fluxos/:id/logs and v1/gestao/fluxos/:id/analise/log (01-35 wire-contracts.csv); mensagem.dados jsonb column aliased metadata"
persisted-wire-04,api,ts-prop,condicao,apps/api/src/dominio/gestao/regras-prioridade.ts:RegraPrioridadeGravada,jsonb:regraPrioridade.condicao,keep,D-09,"wire key of GET/POST/PATCH v1/gestao/regras/prioridade* (01-35 wire-contracts.csv); regraPrioridade.condicao jsonb column, rule condition tree"
persisted-wire-05,api,ts-prop,cabecalhos,apps/api/src/dominio/gestao/integracoes.ts:WebhookDeSaida,jsonb:webhookSaida.cabecalhos,keep,D-09,"wire key of GET/POST/PATCH v1/gestao/webhooks* (01-35 wire-contracts.csv); webhookSaida.cabecalhos jsonb column, custom outbound-webhook headers"
persisted-wire-06,api,ts-prop,options,apps/api/src/dominio/dicionario-crm.ts:lerDicionario,jsonb:dicionarioCampo.options,keep,D-09,"wire key of GET v1/crm/dicionario (01-35 wire-contracts.csv); mirrors Twenty CRM Metadata API field verbatim, dicionarioCampo.options jsonb column"
persisted-wire-07,api,ts-prop,settings,apps/api/src/dominio/dicionario-crm.ts:lerDicionario,jsonb:dicionarioCampo.settings,keep,D-09,"wire key of GET v1/crm/dicionario (01-35 wire-contracts.csv); mirrors Twenty CRM Metadata API field verbatim, dicionarioCampo.settings jsonb column"
persisted-wire-08,api,ts-prop,defaultValue,apps/api/src/dominio/dicionario-crm.ts:lerDicionario,jsonb:dicionarioCampo.default_value,keep,D-09,"wire key of GET v1/crm/dicionario (01-35 wire-contracts.csv); mirrors Twenty CRM Metadata API field verbatim, dicionarioCampo.defaultValue jsonb column"
persisted-wire-09,api,ts-prop,relation,apps/api/src/dominio/dicionario-crm.ts:lerDicionario,jsonb:dicionarioCampo.relation,keep,D-09,"wire key of GET v1/crm/dicionario (01-35 wire-contracts.csv); mirrors Twenty CRM Metadata API field verbatim, dicionarioCampo.relation jsonb column"
persisted-wire-10,api,ts-prop,morphRelations,apps/api/src/dominio/dicionario-crm.ts:lerDicionario,jsonb:dicionarioCampo.morph_relations,keep,D-09,"wire key of GET v1/crm/dicionario (01-35 wire-contracts.csv); mirrors Twenty CRM Metadata API field verbatim, dicionarioCampo.morphRelations jsonb column"
persisted-wire-11,api,ts-prop,atributos,apps/api/src/controladores/catalogo.ts:comoContato,jsonb:contato.atributos,keep,D-45,"wire key of GET/POST/PATCH v1/contatos, v1/contatos/:id (wire-contracts.csv); contato.atributos jsonb passthrough, per D-45 owner review these customer API-key endpoints rename their path and other wire keys, but this one stays a jsonb passthrough"
