id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
infra-comment-29b67e3f,infra,scripts/foto.mjs,1,2,block,4,"/* Tira uma foto de uma URL com o Chromium do Playwright: node foto.mjs URL SAIDA [cookie] [largura] [altura]
   Usa o playwright-core do cache do npx (não é dependência do projeto). */",,,,,,
infra-comment-b39a1bde,infra,scripts/foto.mjs,12,12,line,2,// A política da empresa bloqueia o Chrome aberto com --disable-extensions.,,,,,,
infra-comment-7ef5f3be,infra,scripts/foto.mjs,19,19,block,1,"/* LOCAL='chave=valor,chave2=valor2' grava no localStorage antes de a página carregar */",,,,,,
infra-comment-d68dd716,infra,tools/std/gerar-fixtures-jsonb.ts,1,36,jsdoc,44,"/**
 * Gera as fixtures jsonb (STD-06) SINTÉTICAS: nenhuma linha real de tenant de cliente é
 * lida. Tudo roda dentro de UM tenant descartável, criado e apagado por este script
 * (mesmo padrão de `apps/api/tests/ajuda.ts` `montarCenario`, que a suíte de teste já usa
 * contra este mesmo banco local) — cria só o que é dele, nunca lê nem exporta linha de
 * outro tenant.
 *
 * Decisão do dono (24/09/2026): dump de dado real do Postgres local foi recusado pelo
 * classificador de permissão do agente (Sensitive-Source Provenance) e o dono decidiu não
 * insistir — fixture passa a ser 100% sintética, produzida chamando o código de produção
 * de verdade (o motor do fluxo, `emitir()`, o controlador de contatos, `registrarAuditoria`),
 * nunca lida à mão. Isso é uma prova mais fraca que dado real: não cobre formato legado que
 * só existe em documento já gravado por uma versão antiga do código — só formato que o
 * código ATUAL ainda produz. Ver `01-34-SUMMARY.md` §Deviations / §Known limitations.
 *
 * `conta.atributos` fica de fora (decisão do dono): não existe hoje nenhum caminho de
 * código que escreva essa coluna — nem controlador da `api`, nem `apps/crm`, nem semente.
 * `lead.utm`/`lead.customizados` também não têm rota de escrita própria (só o script de
 * semente do CRM, `apps/crm/semente/semente-crm.ts:625-654`, os grava) — a fixture aqui
 * reproduz o MESMO formato desse script via insert direto (citado por linha), sem rodar a
 * semente inteira. `template_mensagem.variaveis` só é gravada por `sincronizarModelos`
 * (`apps/api/src/dominio/whatsapp/modelos.ts:187-217`), que fala com a Graph API da Meta
 * por rede — reproduz a MESMA transformação determinística daquele arquivo
 * (`Array.from({length}, (_, i) => \`Variável ${i + 1}\`)`) sem a chamada de rede.
 *
 * A parte que precisa de `drizzle-orm`/`@pipe/db`/código de domínio da `api` mora em
 * `apps/api/tests/gerar-fixtures-jsonb.helper.ts` (não `tools/std/`): esses pacotes só
 * estão instalados no `node_modules` da workspace `@pipe/api`, e a resolução de módulo do
 * Node segue o caminho do ARQUIVO que importa, não o cwd — `tools/std` não os enxerga.
 * Este arquivo só faz o bootstrap de variável de ambiente (tem de vir antes de qualquer
 * import que as leia) e a redação antes de escrever em `apps/api/tests/fixtures/jsonb/`.
 *
 * Uso: `pnpm --filter @pipe/api exec tsx ../../tools/std/gerar-fixtures-jsonb.ts` (precisa
 * do Docker com `pipe-postgres` no ar). Roda por cima do MESMO banco que os testes usam; a
 * limpeza no fim apaga só o tenant que este script criou.
 */",,,,,,
infra-comment-7d6c8181,infra,tools/std/gerar-fixtures-jsonb.ts,42,42,line,0,// ProcessHttp em modo memória roda `executarProcessHttp` (chamada HTTP de verdade) em,,,,,,
infra-comment-d33c63de,infra,tools/std/gerar-fixtures-jsonb.ts,43,43,line,3,"// linha por padrão. Aqui a fixture quer só a suspensão (entrada/contexto/pedido), sem",,,,,,
infra-comment-b3762977,infra,tools/std/gerar-fixtures-jsonb.ts,44,44,line,1,// nenhum request saindo da máquina — por isso o job fica parado num array em memória,,,,,,
infra-comment-04e1bf0f,infra,tools/std/gerar-fixtures-jsonb.ts,45,45,line,2,// (`PIPE_PROCESS_HTTP_EM_MEMORIA=1`) e a varredura que o consumiria é adiada bem além da,,,,,,
infra-comment-2dd49b42,infra,tools/std/jsonb-keys.ts,159,159,line,3,// Mais de uma entrada do manifesto pode apontar para o MESMO arquivo (ex.:,,,,,,
infra-comment-faad1a71,infra,tools/std/jsonb-keys.ts,160,160,line,3,"// flow-process-http.json tem uma entrada por coluna combinada, cada uma com seu",,,,,,
infra-comment-5457ce30,infra,tools/std/jsonb-keys.ts,161,161,line,0,"// `field` e seu `opaque`) — as chaves de todas elas se juntam no relatório do arquivo,",,,,,,
infra-comment-7bacf398,infra,tools/std/jsonb-keys.ts,162,162,line,2,// nunca uma sobrescreve a outra.,,,,,,
infra-comment-117b75ba,infra,tools/std/jsonb-keys.ts,32,32,jsdoc,2,/** Campo do registro que guarda o valor desta coluna; `value` quando ausente. */,,,,,,
