id,scope,kind,old,declared_at,where_persisted,decision,decision_ref,notes
crm-ts-prop-8ed1b6dc,crm,ts-prop,agora,apps/crm/src/componentes/lista-de-leads.tsx:74,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
crm-ts-prop-74719315,crm,ts-prop,fuso,apps/crm/src/componentes/lista-de-leads.tsx:73,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
crm-ts-prop-91efdef0,crm,ts-prop,id,apps/crm/src/lib/leads-visao.ts:71,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
crm-ts-prop-d310bade,crm,ts-prop,nome,apps/crm/src/lib/leads-visao.ts:72,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
crm-ts-prop-87a46b7b,crm,ts-prop,proprietarios,apps/crm/src/componentes/lista-de-leads.tsx:75,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
crm-literal-value-8b6e4e0f,crm,literal-value,atendentes:ler,apps/crm/src/lib/configuracoes-comum.ts:169,stored API-key scope literal,,D-40,stored API-key scope literal
crm-literal-value-c798058a,crm,literal-value,contatos:escrever,apps/crm/src/lib/configuracoes-comum.ts:167,stored API-key scope literal,,D-40,stored API-key scope literal
crm-literal-value-4d82b684,crm,literal-value,contatos:ler,apps/crm/src/lib/configuracoes-comum.ts:166,stored API-key scope literal,,D-40,stored API-key scope literal
crm-literal-value-064abd46,crm,literal-value,conversas:escrever,apps/crm/src/lib/configuracoes-comum.ts:163,stored API-key scope literal,,D-40,stored API-key scope literal
crm-literal-value-2e5bc53d,crm,literal-value,conversas:ler,apps/crm/src/lib/configuracoes-comum.ts:162,stored API-key scope literal,,D-40,stored API-key scope literal
crm-literal-value-d2cf818b,crm,literal-value,filas:ler,apps/crm/src/lib/configuracoes-comum.ts:168,stored API-key scope literal,,D-40,stored API-key scope literal
crm-literal-value-6e4194de,crm,literal-value,mensagens:escrever,apps/crm/src/lib/configuracoes-comum.ts:165,stored API-key scope literal,,D-40,stored API-key scope literal
crm-literal-value-052ae0ff,crm,literal-value,mensagens:ler,apps/crm/src/lib/configuracoes-comum.ts:164,stored API-key scope literal,,D-40,stored API-key scope literal
crm-storage-key-6a668149,crm,storage-key,pipe-tema,apps/crm/src/lib/configuracoes-comum.ts:27,browser storage key; needs a persisted.csv rename-with-reset decision (STD-06),,D-09,browser storage key; needs a persisted.csv rename-with-reset decision (STD-06)
crm-storage-key-af5ac3b9,crm,storage-key,pipe.crm.leads.visoes,apps/crm/src/componentes/visoes-salvas.tsx:24,browser storage key; needs a persisted.csv rename-with-reset decision (STD-06),,D-09,browser storage key; needs a persisted.csv rename-with-reset decision (STD-06)
packages-core-ts-prop-a5c7cfa1,packages-core,ts-prop,$title,packages/core/src/fluxo/modelos.ts:16,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-15845e30,packages-core,ts-prop,afterStateChangedActions,packages/core/src/fluxo/modelos.ts:64,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-fa7943a3,packages-core,ts-prop,afterStateChangedActions,packages/core/src/fluxo/modelos.ts:93,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:bloco.conteudo;jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-956d5de3,packages-core,ts-prop,answer,packages/core/src/fluxo/contexto.ts:61,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto,,D-09,jsonb:execucaoFluxo.contexto;jsonb:posicaoNoRoteador.contexto;jsonb:processHttpExecucao.contexto
packages-core-ts-prop-ab56dc4f,packages-core,ts-prop,bruto,packages/core/src/fluxo/contexto.ts:101,jsonb:execucaoPasso.saida,,D-09,jsonb:execucaoPasso.saida
