id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
packages-armazenamento-comment-0757cb9a,packages-armazenamento,packages/armazenamento/src/disco.ts,24,30,jsdoc,9,"/**
   * Resolve a chave dentro da raiz e **prova que não saiu dela**.
   *
   * A conferência é depois do `resolve`, e não antes: comparar texto antes de
   * normalizar é como `../` passa. Aqui o caminho já está absoluto e normalizado
   * quando a pergunta é feita.
   */",translate,"Resolve the key within the root and **prove it did not escape**.

Check after `resolve`, not before: comparing path text before normalization lets `../` through. At this point the path is already absolute and normalized.",security,packages/armazenamento/src/disco.ts:24-30; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-7a07a240,packages-armazenamento,packages/armazenamento/src/disco.ts,5,16,jsdoc,9,"/**
 * Backend em disco, dentro de um volume.
 *
 * A raiz é `PIPE_STORAGE_DIR`. Em produção ela é um volume do contêiner — o arquivo
 * precisa sobreviver a `docker compose up` e a troca de imagem, exatamente como o
 * banco do CRM sobrevive.
 *
 * Não existe rota estática servindo esta pasta, e isso é decisão: **quem serve o
 * arquivo é a `api`**, depois de conferir assinatura, validade e tenant. Uma pasta
 * publicada por nginx seria o ""objeto público adivinhável por id"" que o requisito
 * proíbe.
 */",translate,"Disk backend inside a volume.

The root is `PIPE_STORAGE_DIR`. In production it is a container volume: files must survive `docker compose up` and image replacement, just as the CRM database does.

There is deliberately no static route serving this directory: **the `api` serves files** only after checking signature, expiry, and tenant. Publishing the directory through nginx would create the guessable public object ID forbidden by the requirement.",security,packages/armazenamento/src/disco.ts:5-16; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-7a2e93b9,packages-armazenamento,packages/armazenamento/src/disco.ts,51,51,line,3,"// Arquivo que não existe é ausência, não falha: quem chama devolve 404.",translate,"A missing file means absence, not failure: the caller returns 404.",security,packages/armazenamento/src/disco.ts:51-51; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-cb0cb08a,packages-armazenamento,packages/armazenamento/src/limites.ts,1,10,jsdoc,10,"/**
 * Limites de anexo, copiados dos valores REAIS do Blip Desk.
 *
 * Fonte: `supernova.desk.blip.ai/static/settings.<hash>.json`, o mesmo arquivo que
 * gerou `referencias-blip/pesquisa/blip-desk-regras.md` §""Anexos e Mídia"". Os valores não foram
 * escolhidos por nós: seguir o que a Blip faz é régua do dono, e aqui ela é literal.
 *
 * Apesar do nome que eles deram (`..._ACCEPT_EXTENSION`), o conteúdo é **tipo MIME**,
 * não extensão. O nome errado ficou lá; aqui a variável se chama pelo que ela é.
 */",translate,"Attachment limits copied from the REAL Blip Desk values.

Source: `supernova.desk.blip.ai/static/settings.<hash>.json`, the same file behind `referencias-blip/pesquisa/blip-desk-regras.md` section ""Anexos e Mídia"". We did not choose these values: Blip parity is the owner's benchmark, and the values here are literal.

Despite Blip's name (`..._ACCEPT_EXTENSION`), the contents are **MIME types**, not extensions. Their inaccurate name remains there; our variable names describe the actual data.",security,packages/armazenamento/src/limites.ts:1-10; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-0aadface,packages-armazenamento,packages/armazenamento/src/limites.ts,114,120,jsdoc,4,"/**
 * O tipo de mensagem do Pipe para aquele MIME.
 *
 * `svg+xml` cai em `documento` de propósito, e não em `imagem`: SVG é XML executável,
 * e um `<script>` dentro dele vira XSS na tela de quem abrir a ""imagem"" inline. Ele
 * continua ACEITO — a Blip aceita —, mas nunca é renderizado como imagem por nós.
 */",translate,"The Pipe message type for this MIME.

`svg+xml` intentionally maps to `documento`, not `imagem`: SVG is executable XML, and a `<script>` inside it becomes XSS for anyone opening the ""image"" inline. It remains ACCEPTED, as on Blip, but we never render it as an image.",security,packages/armazenamento/src/limites.ts:114-120; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-d7a2dc47,packages-armazenamento,packages/armazenamento/src/limites.ts,15,23,jsdoc,7,"/**
 * Áudio e vídeo têm teto MENOR: 16 MB.
 *
 * Isto não está no `settings.json` deles, e é justamente onde o Desk da Blip erra: o
 * cliente valida só os 100 MB de `MAX_ATTACHMENT_SIZE`, então ele **deixa subir um
 * áudio de 80 MB que a plataforma recusa depois** (`referencias-blip/pesquisa/regras-blip.md`
 * §""documentos 100 MB, vídeo e áudio 16 MB""). Recusar cedo, com o número certo, é
 * melhor que aceitar e falhar no fim do upload.
 */",translate,"Audio and video have a LOWER limit: 16 MB.

This is absent from Blip's `settings.json`, which is where Blip Desk gets it wrong: its client checks only the 100 MB `MAX_ATTACHMENT_SIZE`, allowing an 80 MB audio upload that the platform later rejects (`referencias-blip/pesquisa/regras-blip.md`, section ""documentos 100 MB, vídeo e áudio 16 MB""). Rejecting early with the correct limit is better than failing after upload.",security,packages/armazenamento/src/limites.ts:15-23; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-91478493,packages-armazenamento,packages/armazenamento/src/limites.ts,26,26,jsdoc,2,/** O teto que vale para aquele MIME. */,remove,,security,packages/armazenamento/src/limites.ts:26-26; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-7077a119,packages-armazenamento,packages/armazenamento/src/limites.ts,35,40,jsdoc,1,"/**
 * `DEFAULT_FILE_TOKEN_EXPIRATION_IN_MILLISECONDS` = 900000 = 15 minutos.
 *
 * É o modelo deles e é o nosso: o arquivo NUNCA é servido por URL pública adivinhável
 * por id. Sai token com validade, e vencido é vencido.
 */",translate,"`DEFAULT_FILE_TOKEN_EXPIRATION_IN_MILLISECONDS` = 900000 = 15 minutes.

This is both Blip's model and ours: a file is NEVER served through a public URL guessable by ID. Access uses an expiring token, and expiry is enforced.",security,packages/armazenamento/src/limites.ts:35-40; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-d3d00e59,packages-armazenamento,packages/armazenamento/src/porta.ts,27,27,jsdoc,2,/** A chave dentro do bucket. Opaca para quem chama. */,remove,,security,packages/armazenamento/src/porta.ts:27-27; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-armazenamento-comment-6435063e,packages-armazenamento,packages/armazenamento/src/porta.ts,3,24,jsdoc,33,"/**
 * A porta do storage, no formato do S3.
 *
 * ""Formato do S3"" quer dizer: **bucket + chave opaca + objeto**, e nada de caminho de
 * sistema de arquivos vazando para quem chama. Trocar o backend por S3, R2 ou MinIO é
 * escrever outra implementação desta interface — nenhum chamador muda.
 *
 * A decisão de HOJE é disco com volume, e não MinIO, por três motivos:
 *
 * 1. **RAM é o gargalo desta infra.** Já medimos ~1,9 GB por instância de CRM
 *    (`2026-09-07-integracao-twenty.md` §5.3). Um contêiner a mais por VPS custa
 *    justamente o recurso que está apertado.
 * 2. **A compatibilidade que o requisito pede é da INTERFACE**, e ela está aqui. O
 *    protocolo S3 não precisa existir na máquina para o chamador estar pronto para ele.
 * 3. **A URL assinada é nossa e simples.** O modelo da Blip não é bucket público com
 *    presign: é *file token com 15 minutos* — e é exatamente isso que `assinar` faz,
 *    com HMAC do chaveiro que já protege os outros segredos.
 *
 * ponytail: disco em host único, sem replicação. No dia em que a `api` rodar em mais de
 * uma máquina, o arquivo escrito numa não aparece na outra — aí entra o backend S3,
 * que é um arquivo novo implementando esta mesma interface.
 */",translate,"The storage port follows the S3 shape.

""S3 shape"" means **bucket + opaque key + object**, without exposing filesystem paths to callers. Moving to S3, R2, or MinIO requires another implementation of this interface; callers do not change.

TODAY we use disk storage on a volume rather than MinIO for three reasons:

1. **RAM is the bottleneck in this infrastructure.** We measured about 1.9 GB per CRM instance (`2026-09-07-integracao-twenty.md` section 5.3). Another VPS container consumes the resource already under pressure.
2. **The required compatibility is at the INTERFACE**, provided here. The S3 protocol need not run on this machine for callers to be ready for it.
3. **Our signed URL is simple.** Blip uses neither a public bucket nor presigning: it uses a *15-minute file token*. That is what `assinar` provides with HMAC using the keyring that already protects other secrets.

ponytail: disk storage on one host has no replication. If `api` runs on multiple machines, a file written on one will not appear on another; add an S3 backend as a new implementation of this interface then.",security,packages/armazenamento/src/porta.ts:3-24; pre-triage D-40; needs slice-time confirmation,codex,reviewed
