id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
site-dir-8254be5e,site,4,dir,apps/site/blog/frases-prontas-para-atendimento-no-whatsapp,apps/site/blog/ready-phrases-for-attendance-on-whatsapp,apps/site/blog/frases-prontas-para-atendimento-no-whatsapp,0,no,,,proposed,sonnet,"fixed: frases/prontas were missing from the dictionary (left PT); segment order is a suggestion, gate 2 eyeball item"
site-dir-91a8d4da,site,4,dir,apps/site/blog/mensagem-automatica-e-de-ausencia-no-whatsapp,apps/site/blog/automatic-and-away-message-on-whatsapp,apps/site/blog/mensagem-automatica-e-de-ausencia-no-whatsapp,0,no,,,proposed,sonnet,"fixed: automatica/ausencia were missing from the dictionary (left PT); ""away message"" for de ausencia (WhatsApp Business feature name) is a suggestion, gate 2 eyeball item"
site-dir-ebe8dd8d,site,4,dir,apps/site/ferramentas/agendador-de-mensagem-whatsapp,apps/site/ferramentas/message-scheduler-whatsapp,apps/site/ferramentas/agendador-de-mensagem-whatsapp,0,no,,,proposed,sonnet,"fixed: agendador was missing from the dictionary (left PT); segment order is a suggestion, gate 2 eyeball item"
site-dir-a1c30f52,site,4,dir,apps/site/blog/lista-de-transmissao-no-whatsapp,apps/site/blog/broadcast-list-on-whatsapp,apps/site/blog/lista-de-transmissao-no-whatsapp,0,no,,,proposed,sonnet,"added: missing from the original inventory (no map row existed for this public blog URL); segment order is a suggestion, gate 2 eyeball item"
site-dir-b2d41e63,site,4,dir,apps/site/blog/numero-de-whatsapp-banido,apps/site/blog/banned-whatsapp-number,apps/site/blog/numero-de-whatsapp-banido,0,no,,,proposed,sonnet,"added: missing from the original inventory (no map row existed for this public blog URL); segment order is a suggestion, gate 2 eyeball item"
site-dir-c3e52f74,site,4,dir,apps/site/ferramentas/calculadora-de-nps,apps/site/ferramentas/nps-calculator,apps/site/ferramentas/calculadora-de-nps,0,no,,,proposed,sonnet,"added: missing from the original inventory (no map row existed for this public tool URL); segment order is a suggestion, gate 2 eyeball item"
site-dir-d4f63a85,site,4,dir,apps/site/ferramentas/calculadora-de-taxas-do-ifood,apps/site/ferramentas/ifood-fee-calculator,apps/site/ferramentas/calculadora-de-taxas-do-ifood,0,no,,,proposed,sonnet,"added: missing from the original inventory (no map row existed for this public tool URL); segment order is a suggestion, gate 2 eyeball item"
site-dir-e5079b96,site,4,dir,apps/site/ferramentas/gerador-de-link-whatsapp,apps/site/ferramentas/whatsapp-link-generator,apps/site/ferramentas/gerador-de-link-whatsapp,0,no,,,proposed,sonnet,"added: missing from the original inventory (no map row existed for this public tool URL); segment order is a suggestion, gate 2 eyeball item"
site-dir-f618ac07,site,4,dir,apps/site/ferramentas/gerador-de-qr-code-whatsapp,apps/site/ferramentas/whatsapp-qr-code-generator,apps/site/ferramentas/gerador-de-qr-code-whatsapp,0,no,,,proposed,sonnet,"added: missing from the original inventory (no map row existed for this public tool URL); segment order is a suggestion, gate 2 eyeball item"
site-dir-07a92c18,site,4,dir,apps/site/ferramentas,apps/site/tools,apps/site/ferramentas,0,no,,,proposed,sonnet,"added: missing from the original inventory - the ferramentas/ folder itself (public URL usepipe.com/ferramentas/...) had no row, only its 1-of-5 children"
site-file-cd868ef9,site,4,file,previa-gestao.png,apps/site/assets/previa-management.png,apps/site/assets/previa-gestao.png,1,no,,,proposed,codex2,
site-symbol-d885a0aa,site,4,symbol,botoes,buttons,apps/site/assets/site.js:251,24,no,,,proposed,codex2,
site-symbol-7a07b610,site,4,symbol,busca,search,apps/site/assets/site.js:196,420,no,,,proposed,codex2,
site-symbol-1752497c,site,4,symbol,porId,byId,apps/site/assets/site.js:119,7,no,,,proposed,codex2,
site-symbol-5902df16,site,4,symbol,valor,value,apps/site/assets/site.js:228,1656,no,,,proposed,codex2,
site-symbol-b4e6ab53,site,4,symbol,vazio,empty,apps/site/assets/site.js:200,290,no,,,proposed,codex2,
site-ts-local-cc379bbe,site,4,ts-local,entrada,inbound,apps/site/assets/site.js:86,473,no,,,proposed,codex2,
