id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
crm-comment-bc0a4c31,crm,apps/crm/next.config.ts,12,12,line,2,// Servidor autocontido em `.next/standalone`: é o que deixa a imagem final,translate,Self-contained server in `.next/standalone`: this is what lets the final image,architecture,Reviewed apps/crm/next.config.ts:12; translation preserves original technical/security meaning. pre-triage D-40; needs slice-time confirmation,sonnet,reviewed
crm-comment-60230263,crm,apps/crm/next.config.ts,13,13,line,2,// rodar sem devDependencies e sem o Next instalado ao lado.,translate,run without devDependencies and without Next installed alongside it.,architecture,Reviewed apps/crm/next.config.ts:13; translation preserves original technical/security meaning. pre-triage D-40; needs slice-time confirmation,sonnet,reviewed
crm-comment-af50bc1c,crm,apps/crm/next.config.ts,15,15,line,1,// Sem isto o Next enraíza o rastreamento em `apps/crm` e deixa de fora,translate,"Without this, Next roots the tracing at `apps/crm` and leaves out",architecture,Reviewed apps/crm/next.config.ts:15; translation preserves original technical/security meaning. pre-triage D-40; needs slice-time confirmation,sonnet,reviewed
crm-comment-a34ab7d4,crm,apps/crm/next.config.ts,4,10,jsdoc,3,"/**
 * `pg` e `drizzle-orm` só rodam no servidor: fora do bundle do Next, senão o
 * webpack tenta empacotar o driver nativo do Postgres.
 *
 * `@pipe/ui` é consumido como fonte (não tem passo de build), então o Next
 * precisa transpilá-lo junto com o aplicativo.
 */",translate,"`pg` and `drizzle-orm` only run on the server: outside the Next bundle, otherwise
webpack tries to bundle the native Postgres driver.

`@pipe/ui` is consumed as source (no build step), so Next
needs to transpile it together with the app.",architecture,Reviewed apps/crm/next.config.ts:4-10; translation preserves original technical/security meaning. pre-triage D-40; needs slice-time confirmation,sonnet,reviewed
crm-comment-de31e77b,crm,apps/crm/semente/semente-crm.ts,124,124,jsdoc,1,"/** CNPJ fictício e determinístico. Catorze dígitos, sem dígito verificador real. */",translate,"Fake, deterministic CNPJ. Fourteen digits, no real check digit.",other,,,proposed
crm-comment-ca663cf4,crm,apps/crm/semente/semente-crm.ts,139,142,jsdoc,4,"/**
 * As regras da versão 4. Os pesos são os do mockup aprovado, e o corte em 60 é a
 * regra de negócio que já roda no webhook de hoje.
 */",translate,"Version 4 rules. The weights come from the approved mockup, and the cutoff at 60 is the
business rule that already runs in today's webhook.",other,,,proposed
crm-comment-764ce4c6,crm,apps/crm/semente/semente-crm.ts,219,219,jsdoc,0,/** As faixas no formato do motor: `maximo` do topo é aberto. */,translate,Bands in the engine's format: the top band's `maximo` is open-ended.,other,,,proposed
crm-comment-c7329620,crm,apps/crm/semente/semente-crm.ts,264,264,jsdoc,1,/** A versão 2 acrescenta duas perguntas — e o histórico da versão 1 continua legível. */,translate,Version 2 adds two more questions — and version 1's history stays readable.,other,,,proposed
crm-comment-830f24ba,crm,apps/crm/semente/semente-crm.ts,28,43,jsdoc,17,"/**
 * Semente do Pipe CRM.
 *
 * **Acrescenta, nunca varre.** Outros agentes semeiam o mesmo tenant `demo`, e apagar
 * o que não é seu já quebrou trabalho alheio neste projeto uma vez. Por isso cada
 * linha criada aqui tem identificador **derivado do nome** (sha1 de um namespace do
 * CRM), e a limpeza do começo apaga exatamente esses identificadores e mais nenhum:
 * rodar duas vezes não duplica, e não encosta em contato, conversa ou fila de
 * ninguém.
 *
 * Ela se apoia no que já existe — contatos e conversas da semente da Gestão, filas e
 * usuários da semente base — porque é assim que a promessa do produto aparece na
 * tela: a linha do tempo do lead traz o atendimento que já aconteceu.
 *
 * Uso: `pnpm --filter @pipe/crm seed:crm`
 */",translate,"Pipe CRM seed.

**Appends, never sweeps.** Other agents seed the same `demo` tenant, and deleting what
isn't yours has already broken someone else's work in this project once. That's why each
row created here has an identifier **derived from a name** (sha1 of a CRM
namespace), and the initial cleanup deletes exactly those identifiers and nothing else:
running it twice doesn't duplicate, and it never touches anyone else's contact, conversation, or queue.

It builds on what already exists — contacts and conversations from the Gestão seed, queues and
users from the base seed — because that's how the product's promise shows up on
screen: the lead's timeline brings in attendance that really happened.

Usage: `pnpm --filter @pipe/crm seed:crm`",architecture,Reviewed apps/crm/semente/semente-crm.ts:28-43 — idempotent seeding + cross-app data reuse rationale; translation preserves original technical/security meaning. pre-triage D-40; needs slice-time confirmation,sonnet,reviewed
crm-comment-b6f8ead9,crm,apps/crm/semente/semente-crm.ts,354,357,jsdoc,5,"/**
   * Contatos que já conversaram vêm primeiro: é o que faz a linha do tempo do lead
   * mostrar atendimento de verdade em vez de uma lista de notas inventadas.
   */",translate,"Contacts who have already talked come first: that's what makes the lead's timeline
show real attendance instead of a list of made-up notes.",other,,,proposed
crm-comment-cf46795c,crm,apps/crm/semente/semente-crm.ts,374,374,block,1,/* ---------------------------------------------------- limpeza do que é meu */,translate,---------------------------------------------------- cleanup of what's mine,other,,,proposed
crm-comment-c0c0f08b,crm,apps/crm/semente/semente-crm.ts,388,388,line,2,"// Ordem: oportunidade e lead antes do formulário, senão a resposta segura a versão.",translate,"Order: opportunity and lead before the form, otherwise the response holds up the version.",other,,,proposed
