id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
packages-ai-comment-02a9981c,packages-ai,packages/ai/src/avaliacao/avaliacao.teste.ts,140,140,line,2,// Peso total cai de 10 para 8; quem sobrou está todo conforme.,remove,,other,packages/ai/src/avaliacao/avaliacao.teste.ts:138-142,codex,reviewed
packages-ai-comment-eeb61a64,packages-ai,packages/ai/src/avaliacao/avaliacao.teste.ts,166,166,line,1,// ——— avaliação com dublê do modelo ———,remove,,other,packages/ai/src/avaliacao/avaliacao.teste.ts:166-168,codex,reviewed
packages-ai-comment-9b5c0783,packages-ai,packages/ai/src/avaliacao/avaliacao.teste.ts,198,198,jsdoc,1,/** Dublê com resposta gravada: nenhum teste gasta chamada real. */,translate,Recorded response stub: tests make no real model calls.,other,packages/ai/src/avaliacao/avaliacao.teste.ts:198-201,codex,reviewed
packages-ai-comment-a096a87c,packages-ai,packages/ai/src/avaliacao/avaliacao.teste.ts,9,13,jsdoc,2,"/**
 * Pesos: c1=1×1, c2=1×2, c3=2×2, c4=3×1. Somam 10, então cada ponto de peso vale
 * 10 pontos de nota. Números redondos de propósito: teste de cálculo com número
 * feio esconde erro de arredondamento.
 */",translate,"Weights: c1=1×1, c2=1×2, c3=2×2, c4=3×1, totaling 10; each weight point is worth 10 score points. Round numbers are intentional: awkward arithmetic would obscure rounding errors in this calculation test.",other,packages/ai/src/avaliacao/avaliacao.teste.ts:9-25,codex,reviewed
packages-ai-comment-43308d34,packages-ai,packages/ai/src/avaliacao/avaliacao.teste.ts,95,95,line,0,// Só o c1 (peso 1 de 10) caiu.,remove,,other,packages/ai/src/avaliacao/avaliacao.teste.ts:93-96,codex,reviewed
packages-ai-comment-a9d5f828,packages-ai,packages/ai/src/avaliacao/avaliacao.ts,1,12,jsdoc,19,"/**
 * Avaliação de atendimento por IA: recebe transcrição e formulário, devolve
 * resposta critério a critério com valor, pontos, justificativa e a mensagem que
 * serve de evidência.
 *
 * Tudo que o modelo devolve é conferido contra o formulário e contra a
 * transcrição antes de virar resultado: id de critério que não existe, rótulo de
 * evidência que não existe e critério não conforme sem evidência **falham**. É a
 * mesma disciplina que no case-sync validava a subcategoria contra a picklist —
 * lá, aceitar a resposta do modelo sem conferir produziu Cases em branco que
 * ninguém viu por meses.
 */",translate,"AI ticket evaluation takes a transcript and form and returns each criterion's value, points, rationale, and supporting message. Every model result is checked against the form and transcript before acceptance: unknown criterion IDs, nonexistent evidence labels, and noncompliant criteria without evidence fail. This follows the case-sync practice of checking subcategories against the picklist; accepting unchecked model answers there produced blank Cases unnoticed for months.",architecture,"packages/ai/src/avaliacao/avaliacao.ts:1-12,60-125; pre-triage D-40; needs slice-time confirmation",codex,reviewed
packages-ai-comment-27069a08,packages-ai,packages/ai/src/avaliacao/avaliacao.ts,46,46,jsdoc,1,"/** Dublê nos testes; na produção, a chamada real. */",translate,Test stub when injected; the real call in production.,other,packages/ai/src/avaliacao/avaliacao.ts:44-47,codex,reviewed
packages-ai-comment-c92064ec,packages-ai,packages/ai/src/avaliacao/avaliacao.ts,50,50,jsdoc,1,/** Sobra folga para justificativa e evidência de cada critério. */,translate,Leaves room for each criterion's rationale and evidence.,other,packages/ai/src/avaliacao/avaliacao.ts:50-54,codex,reviewed
packages-ai-comment-7c886c41,packages-ai,packages/ai/src/avaliacao/avaliacao.ts,56,59,jsdoc,2,"/**
 * Resolve o rótulo citado (`m12`) para o `mensagem.id` correspondente. Rótulo
 * fora do índice da transcrição é alucinação e derruba a avaliação.
 */",translate,Resolves a cited label (`m12`) to its corresponding `mensagem.id`. A label outside the transcript index is a hallucination and fails the evaluation.,architecture,packages/ai/src/avaliacao/avaliacao.ts:56-72; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-ai-comment-b15cb700,packages-ai,packages/ai/src/avaliacao/nota.ts,1,11,jsdoc,12,"/**
 * Cálculo da nota. Determinístico e feito aqui, nunca pelo modelo.
 *
 * A nota é média ponderada pelo peso do grupo vezes o peso do critério, na escala
 * de `formulario_avaliacao.nota_maxima`. Critério `nao_se_aplica` sai do
 * denominador — não é zero, é ausência. Critério fatal reprovado zera o total.
 *
 * `pontos` de cada resposta já vem na escala da nota: a soma dos pontos é a nota
 * antes do fatal. É essa propriedade que faz a tela conseguir mostrar ""perdeu 12
 * pontos aqui"" sem recalcular nada.
 */",translate,"Score calculation is deterministic here, never left to the model. The score is weighted by group and criterion weights on the `formulario_avaliacao.nota_maxima` scale. A `nao_se_aplica` criterion leaves the denominator; it is absent, not zero. A failed fatal criterion zeroes the total. Each response's `pontos` already uses the score scale: their sum is the score before the fatal rule, allowing the UI to show points lost per response without recalculation.",architecture,"packages/ai/src/avaliacao/nota.ts:1-11,60-125; pre-triage D-40; needs slice-time confirmation",codex,reviewed
packages-ai-comment-79b3a781,packages-ai,packages/ai/src/avaliacao/nota.ts,17,17,jsdoc,3,"/** Quanto do critério foi cumprido, de 0 a 1. `null` quando não se aplica. */",translate,"Fraction of the criterion met, from 0 to 1; `null` means not applicable.",other,packages/ai/src/avaliacao/nota.ts:17-47,codex,reviewed
packages-ai-comment-0a93f546,packages-ai,packages/ai/src/avaliacao/nota.ts,49,49,jsdoc,2,"/** Arredonda para as duas casas de `numeric(6,2)`, sem herdar erro de ponto flutuante. */",translate,"Rounds to the two decimal places of `numeric(6,2)` without carrying floating-point error.",other,packages/ai/src/avaliacao/nota.ts:49-52,codex,reviewed
packages-ai-comment-24e9fdeb,packages-ai,packages/ai/src/avaliacao/nota.ts,54,59,jsdoc,3,"/**
 * Aplica pesos, escala e critério fatal sobre as respostas já validadas.
 *
 * `respostas` precisa cobrir todos os critérios do formulário — quem monta essa
 * lista (`avaliacao/avaliacao.ts`) já garantiu isso. Aqui, faltar critério é erro.
 */",translate,"Applies weights, scale, and fatal criteria to validated responses. `respostas` must cover every form criterion; its builder (`avaliacao/avaliacao.ts`) already guarantees this, so a missing criterion is an error here.",architecture,packages/ai/src/avaliacao/nota.ts:54-90; pre-triage D-40; needs slice-time confirmation,codex,reviewed
