id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
packages-autenticacao-comment-2c45ea64,packages-autenticacao,packages/autenticacao/src/entrada.ts,10,36,jsdoc,51,"/**
 * O que acontece entre ""o provedor disse quem é"" e ""a pessoa está dentro"".
 *
 * O caminho é o MESMO para o Google e para o IdP do cliente, e isso é a decisão
 * central deste arquivo: uma porta só, com uma lista de perguntas só, porque toda
 * segunda porta de entrada é a que alguém esquece de trancar. A única diferença é
 * de onde vem o tenant — do domínio do e-mail (Google) ou da conexão que iniciou
 * o fluxo (SSO).
 *
 * A ordem das perguntas é o que importa, e ela é sempre a mesma:
 *
 * 1. **Esta conta externa já está ligada a alguém?** Se sim, é ela; acabou. Essa
 *    consulta é por `(emissor, sujeito)`, nunca por e-mail.
 * 2. **A política do tenant permite entrar por aqui?** Com `obrigatorio`, só SSO
 *    — mesmo para quem já tem a conta do Google ligada.
 * 3. **Se a conta não está ligada, a que tenant o domínio do e-mail pertence?**
 *    Só domínio VERIFICADO conta, domínio público nunca, e no SSO ele ainda
 *    precisa ser do tenant que iniciou o fluxo.
 * 4. **O provedor confirmou este e-mail?** Sem isso não se casa identidade nova
 *    com usuário existente: quem conseguir um IdP a emitir o e-mail da vítima
 *    entraria como ela, com os papéis dela.
 * 5. **Existe usuário com este e-mail nesse tenant?** Se sim, liga a conta
 *    externa a ele — é a pessoa que já foi convidada e está entrando pela
 *    primeira vez pelo provedor.
 * 6. **Senão, recusa.** Criar usuário do nada é o que transforma ""descobri um
 *    domínio"" em ""entrei no cliente"". Entrada de gente nova é por convite.
 */",update,"Between provider identification and an authenticated Pipe session, Google and the tenant IdP use the SAME entry path. One path applies one set of checks; a second entry path is easy to leave unguarded. The tenant comes from the verified email domain for Google or from the SSO connection that initiated the flow.

Check in this order:
1. If an external identity is already linked, find it by `(emissor, sujeito)`, never by email; reject a linked identity from a different tenant.
2. Enforce tenant policy: `obrigatorio` allows SSO only, even for an already linked Google identity.
3. For a new identity, require provider-confirmed email before linking or account creation. Otherwise a provider asserting a victim's email could grant the victim's roles.
4. A public email domain does not identify a company. Google self-service may create an account for it; otherwise reject.
5. For other domains, use only a VERIFIED domain; SSO must match the initiating tenant. If the domain is unclaimed, Google self-service may create its first account; otherwise reject.
6. For a claimed domain, require an existing active invited user with that email, then link the identity. A verified domain alone cannot grant entry to another tenant's account.",security,packages/autenticacao/src/entrada.ts:10-36; packages/autenticacao/src/entrada.ts:101-213; self-service branches at 152-181; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-0c0bb35c,packages-autenticacao,packages/autenticacao/src/entrada.ts,126,126,line,3,// Conta já ligada a OUTRO cliente. Reaproveitá-la aqui seria a mesma pessoa,translate,Identity already linked to ANOTHER tenant. Reusing it here would let the same provider login enter,security,packages/autenticacao/src/entrada.ts:126-126; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-2c39d7ad,packages-autenticacao,packages/autenticacao/src/entrada.ts,127,127,line,2,"// entrando em dois tenants com o mesmo login, e a escolha de qual vale",translate,"two tenants, leaving the choice of which identity counts to the first lookup.",security,packages/autenticacao/src/entrada.ts:127-127; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-bbce7d8e,packages-autenticacao,packages/autenticacao/src/entrada.ts,139,142,block,8,"/* Antes de recusar por qualquer motivo, uma trava que vale para TODO caminho
     novo: sem o provedor afirmar que o e-mail é da pessoa, nada aqui adiante
     pode casar identidade com conta — nem ligar a um usuário convidado, nem
     abrir conta nova com aquele endereço. */",translate,"Before rejecting for any reason, apply a guard on EVERY new identity path: without provider confirmation that the person owns the email, nothing below may match that identity to an account, link an invited user, or open a new account with that address.",security,packages/autenticacao/src/entrada.ts:139-142; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-0a5e210f,packages-autenticacao,packages/autenticacao/src/entrada.ts,150,150,line,1,// Primeira entrada: o domínio decide (Google) ou confirma (SSO) de quem é a pessoa.,translate,"On first entry, the domain selects the tenant for Google or confirms it for SSO.",security,packages/autenticacao/src/entrada.ts:150-150; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-dd74251b,packages-autenticacao,packages/autenticacao/src/entrada.ts,152,154,block,6,"/* E-mail pessoal não diz de que empresa a pessoa é — mas no autosserviço ele
       não precisa dizer: a conta que nasce é dela, e o nome da empresa vem
       depois, em ""minha conta"". */",translate,"A personal email does not identify a company. In self-service it need not: the new account belongs to that person, and the company name is filled in later in ""minha conta"".",security,packages/autenticacao/src/entrada.ts:152-154; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-b193dc03,packages-autenticacao,packages/autenticacao/src/entrada.ts,173,174,block,3,"/* Ninguém reivindicou este domínio. No autosserviço isso não é recusa, é o
       caso comum: é a primeira pessoa daquela empresa chegando. */",translate,"Nobody has claimed this domain. In self-service this is the normal first-person entry for that company, not a rejection.",security,packages/autenticacao/src/entrada.ts:173-174; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-54177c58,packages-autenticacao,packages/autenticacao/src/entrada.ts,217,217,jsdoc,2,/** O login com Google. É `entrarComIdentidade` com o tenant vindo do domínio. */,remove,,security,packages/autenticacao/src/entrada.ts:217-217; Detached JSDoc incorrectly precedes `abrirContaNova` at packages/autenticacao/src/entrada.ts:217-218.; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-0c969fac,packages-autenticacao,packages/autenticacao/src/entrada.ts,218,225,jsdoc,12,"/**
 * A conta que nasce no login: o autosserviço cria o tenant e o administrador, e
 * esta função só liga a identidade do provedor a ele e abre a sessão.
 *
 * A identidade é gravada aqui, e não dentro do provisionamento, porque quem
 * provisiona não conhece provedor nenhum — é o mesmo caminho do comando que
 * cria cliente pela linha de comando.
 */",translate,"At login, self-service creates the tenant and administrator; this function links the provider identity and opens the session.

The identity is stored here rather than in provisioning because provisioning is provider-agnostic; the command-line tenant creation path uses the same provisioning.",security,packages/autenticacao/src/entrada.ts:218-225; pre-triage D-40; needs slice-time confirmation,codex,reviewed
packages-autenticacao-comment-69fc0516,packages-autenticacao,packages/autenticacao/src/entrada.ts,262,262,jsdoc,2,/** O login pelo IdP do cliente. O tenant vem da conexão que iniciou o fluxo. */,translate,Login through the tenant IdP; the tenant comes from the connection that started the flow.,security,packages/autenticacao/src/entrada.ts:262-262; pre-triage D-40; needs slice-time confirmation,codex,reviewed
