id,scope,file,start_line,end_line,kind,pt_score,text,action,new_text,sensitivity,evidence,reviewed_by,status
workers-comment-5c3bca20,workers,apps/workers/src/agregacao.ts,104,104,line,0,// Em série (nunca `Promise.all` dentro da transação — ver README).,translate,Run in series; never use `Promise.all` inside this transaction (see README).,security,apps/workers/src/agregacao.ts:104; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
workers-comment-f96bfccf,workers,apps/workers/src/agregacao.ts,11,21,jsdoc,10,"/**
 * Fila de agregação: fecha `metrica_diaria` do dia anterior.
 *
 * Toda métrica sai de `evento_atendimento`, nunca de campo mutável da conversa —
 * é o que permite recalcular o passado quando a definição de uma métrica muda
 * (modelo de dados §4). Por isso a rotina é **idempotente**: rodar de novo para o
 * mesmo dia sobrescreve a linha em vez de somar em cima.
 *
 * A matemática vive em `@pipe/core` e não é reescrita aqui. Este arquivo só traduz
 * linha de banco em `ConversaEventos` e resultado de métrica em coluna.
 */",translate,"Aggregation queue closes the previous day's `metrica_diaria`. Every metric derives from `evento_atendimento`, never a mutable conversation field, so historical data can be recalculated when a metric definition changes (data model §4). The routine is idempotent: rerunning a day overwrites its row instead of adding to it. The math lives in `@pipe/core`; this file only maps database rows to `ConversaEventos` and metric results to columns.",architecture,apps/workers/src/agregacao.ts:11; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
workers-comment-feb62a0a,workers,apps/workers/src/agregacao.ts,23,23,jsdoc,1,/** Fuso do tenant decide onde o dia começa. Relatório em UTC mente para o cliente. */,translate,The tenant time zone determines the start of a day; a UTC report would mislead the client.,other,apps/workers/src/agregacao.ts:23,codex3,reviewed
workers-comment-8e614af2,workers,apps/workers/src/agregacao.ts,235,235,line,2,"// Sem dimensão não há linha: `metrica_diaria_uk` inclui `dimensao_id`, e no",translate,"Without a dimension there is no row: `metrica_diaria_uk` includes `dimensao_id`, and",architecture,apps/workers/src/agregacao.ts:235; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
workers-comment-40686b2f,workers,apps/workers/src/agregacao.ts,236,236,line,3,"// Postgres dois NULL são distintos num índice único — a linha ""sem fila"" seria",translate,Postgres treats two NULLs as distinct in a unique index; a row without a queue would,architecture,apps/workers/src/agregacao.ts:236; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
workers-comment-62d30227,workers,apps/workers/src/agregacao.ts,264,264,line,1,"// Soma e denominador viajam juntos: a média é feita na hora de exibir,",translate,"Keep the sum and denominator together; calculate the average when displaying it,",architecture,apps/workers/src/agregacao.ts:264; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
workers-comment-2581de1e,workers,apps/workers/src/agregacao.ts,265,265,line,1,// porque média de médias entre dias mente (spec de métricas §5).,translate,because averaging daily averages is misleading (metrics spec §5).,architecture,apps/workers/src/agregacao.ts:265; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
workers-comment-a6539b07,workers,apps/workers/src/agregacao.ts,54,57,jsdoc,2,"/**
 * Agrega o dia para todos os tenants ativos. Roda de madrugada, uma vez por dia.
 * O `select` de tenants usa o papel dono; toda leitura de negócio, o da aplicação.
 */",translate,Aggregate the previous day for all active tenants each night. The owner role runs the `select` of tenants; the app role reads business data.,security,apps/workers/src/agregacao.ts:54; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
workers-comment-e301884c,workers,apps/workers/src/agregacao.ts,64,64,line,1,// Em série: cada tenant abre a própria transação.,translate,Run serially: each tenant opens its own transaction.,security,apps/workers/src/agregacao.ts:64; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
workers-comment-502232a3,workers,apps/workers/src/banco.ts,35,40,jsdoc,4,"/**
 * Roda o trabalho com `pipe.tenant_id` fixado.
 *
 * Dentro do callback as consultas vão **em série**. `Promise.all` aqui derruba o
 * `set_config` da transação e a consulta passa a rodar sem tenant — ver o README.
 */",translate,Run work with `pipe.tenant_id` set. Queries in the callback must run in series. `Promise.all` disrupts the transaction's `set_config` and can leave a query running without a tenant; see README.,security,apps/workers/src/banco.ts:35; pre-triage D-40; needs slice-time confirmation,codex3,reviewed
